iter,R_mom,R_div
1,1.363261e+00,4.987745e+00
2,8.367060e-01,6.837266e+00
3,7.324534e-01,6.796390e+00
4,7.597494e-01,5.988658e+00
5,7.434324e-01,4.861025e+00
6,6.843533e-01,3.734238e+00
7,5.939957e-01,2.569787e+00
8,4.874903e-01,2.473006e+00
9,3.835731e-01,2.805662e+00
10,3.011131e-01,2.765059e+00
11,2.541535e-01,2.743876e+00
12,2.422019e-01,3.256770e+00
13,2.492863e-01,3.389038e+00
14,2.581921e-01,3.252053e+00
15,2.588380e-01,2.935523e+00
16,2.485821e-01,2.504700e+00
17,2.288307e-01,2.262315e+00
18,2.030612e-01,2.000358e+00
19,1.760365e-01,1.665252e+00
20,1.521837e-01,1.288391e+00
21,1.346541e-01,9.016727e-01
22,1.246727e-01,8.797181e-01
23,1.208579e-01,8.133860e-01
24,1.203101e-01,7.201339e-01
25,1.202703e-01,8.084090e-01
26,1.191145e-01,8.532605e-01
27,1.164072e-01,8.316518e-01
28,1.124650e-01,7.566718e-01
29,1.079545e-01,6.436428e-01
30,1.036064e-01,5.084455e-01
31,9.997225e-02,3.944588e-01
32,9.728658e-02,3.555904e-01
33,9.547423e-02,3.231668e-01
34,9.427954e-02,2.982513e-01
35,9.341102e-02,2.869902e-01
36,9.261445e-02,3.229516e-01
37,9.174210e-02,3.386751e-01
38,9.075492e-02,3.361207e-01
39,8.969928e-02,3.183638e-01
40,8.863648e-02,2.894225e-01
41,8.765095e-02,2.532255e-01
42,8.677978e-02,2.326763e-01
43,8.603030e-02,2.283048e-01
44,8.538257e-02,2.236294e-01
45,8.480751e-02,2.185346e-01
46,8.427917e-02,2.129701e-01
47,8.377574e-02,2.069388e-01
48,8.328488e-02,2.004394e-01
49,8.279893e-02,1.936650e-01
50,8.232196e-02,1.868611e-01
51,8.186369e-02,1.802386e-01
52,8.143078e-02,1.739193e-01
53,8.102568e-02,1.678013e-01
54,8.064836e-02,1.621296e-01
55,8.029455e-02,1.569180e-01
56,7.996502e-02,1.522238e-01
57,7.965268e-02,1.480271e-01
58,7.935679e-02,1.442412e-01
59,7.907368e-02,1.407333e-01
60,7.880412e-02,1.373767e-01
61,7.854683e-02,1.341539e-01
62,7.829940e-02,1.310159e-01
63,7.806392e-02,1.278791e-01
64,7.783856e-02,1.246639e-01
65,7.762439e-02,1.214144e-01
66,7.741841e-02,1.181047e-01
67,7.722213e-02,1.146226e-01
68,7.703243e-02,1.111078e-01
69,7.685186e-02,1.076154e-01
70,7.667750e-02,1.041268e-01
71,7.651057e-02,1.006958e-01
72,7.634968e-02,9.736828e-02
73,7.619574e-02,9.415594e-02
74,7.604745e-02,9.101082e-02
75,7.590560e-02,8.797251e-02
76,7.576922e-02,8.506725e-02
77,7.563817e-02,8.228233e-02
78,7.551217e-02,7.955671e-02
79,7.539092e-02,7.693059e-02
80,7.527423e-02,7.438771e-02
81,7.516148e-02,7.168038e-02
82,7.505297e-02,6.897702e-02
83,7.494798e-02,6.636389e-02
84,7.484645e-02,6.381386e-02
85,7.474811e-02,6.136159e-02
86,7.465307e-02,5.901600e-02
87,7.456082e-02,5.675516e-02
88,7.447132e-02,5.454795e-02
89,7.438441e-02,5.242285e-02
90,7.429984e-02,5.038256e-02
91,7.421774e-02,4.838684e-02
92,7.413784e-02,4.645453e-02
93,7.406008e-02,4.460110e-02
94,7.398403e-02,4.280447e-02
95,7.391020e-02,4.102938e-02
96,7.383793e-02,3.930076e-02
97,7.376770e-02,3.760347e-02
98,7.369890e-02,3.597184e-02
99,7.363182e-02,3.441516e-02
100,7.356578e-02,3.290584e-02
101,7.350144e-02,3.143346e-02
102,7.343822e-02,3.002053e-02
103,7.337638e-02,2.866463e-02
104,7.331553e-02,2.733240e-02
105,7.325569e-02,2.605316e-02
106,7.319694e-02,2.483212e-02
107,7.313893e-02,2.363460e-02
108,7.308199e-02,2.247792e-02
109,7.302564e-02,2.209471e-02
110,7.297036e-02,2.202331e-02
111,7.291568e-02,2.195123e-02
112,7.286176e-02,2.187724e-02
