iter,R_mom,R_div
1,1.697128e+00,4.987745e+00
2,1.415226e+00,4.577343e+00
3,7.674907e-01,3.514898e+00
4,3.435297e-01,2.324698e+00
5,2.758471e-01,2.031575e+00
6,2.629501e-01,1.579230e+00
7,2.124307e-01,1.142649e+00
8,1.603777e-01,9.154085e-01
9,1.290515e-01,6.550988e-01
10,1.142599e-01,4.832606e-01
11,1.054926e-01,3.800366e-01
12,9.846142e-02,3.268646e-01
13,9.254867e-02,3.073274e-01
14,8.763108e-02,2.962111e-01
15,8.344900e-02,2.846391e-01
16,7.978255e-02,2.792017e-01
17,7.652254e-02,2.738075e-01
18,7.362002e-02,2.623926e-01
19,7.103768e-02,2.585240e-01
20,6.872789e-02,2.517480e-01
21,6.665292e-02,2.428423e-01
22,6.477858e-02,2.330279e-01
23,6.307938e-02,2.228064e-01
24,6.152991e-02,2.123871e-01
25,6.011249e-02,2.018899e-01
26,5.881050e-02,1.914294e-01
27,5.761064e-02,1.811687e-01
28,5.650124e-02,1.712620e-01
29,5.547214e-02,1.618065e-01
30,5.451563e-02,1.528477e-01
31,5.362461e-02,1.459895e-01
32,5.279267e-02,1.426762e-01
33,5.201439e-02,1.389553e-01
34,5.128483e-02,1.349387e-01
35,5.059952e-02,1.307096e-01
36,4.995488e-02,1.263253e-01
37,4.934807e-02,1.218528e-01
38,4.877502e-02,1.173603e-01
39,4.823377e-02,1.128970e-01
40,4.772153e-02,1.084987e-01
41,4.723616e-02,1.041920e-01
42,4.677569e-02,9.999598e-02
43,4.633795e-02,9.592469e-02
44,4.592174e-02,9.198826e-02
45,4.552511e-02,8.819404e-02
46,4.514663e-02,8.454685e-02
47,4.478488e-02,8.104904e-02
48,4.443845e-02,7.770093e-02
49,4.410622e-02,7.465073e-02
50,4.378761e-02,7.195667e-02
51,4.348175e-02,6.934927e-02
52,4.318787e-02,6.682822e-02
53,4.290500e-02,6.439527e-02
54,4.263246e-02,6.205040e-02
55,4.236974e-02,5.979268e-02
56,4.211634e-02,5.762133e-02
57,4.187164e-02,5.553457e-02
58,4.163492e-02,5.353035e-02
59,4.140543e-02,5.160710e-02
60,4.118311e-02,4.976269e-02
61,4.096763e-02,4.799367e-02
62,4.075842e-02,4.629832e-02
63,4.055510e-02,4.467477e-02
64,4.035736e-02,4.312014e-02
65,4.016506e-02,4.163035e-02
66,3.997787e-02,4.020283e-02
67,3.979557e-02,3.883561e-02
68,3.961772e-02,3.752708e-02
69,3.944388e-02,3.627419e-02
70,3.927399e-02,3.507333e-02
71,3.910797e-02,3.392003e-02
72,3.894572e-02,3.281285e-02
73,3.878699e-02,3.175128e-02
74,3.863145e-02,3.073368e-02
75,3.847915e-02,2.975746e-02
76,3.832980e-02,2.882175e-02
77,3.818334e-02,2.792540e-02
