iter,R_mom,R_div
1,2.742740e+00,7.950388e+00
2,2.335009e+00,6.758482e+00
3,1.273886e+00,5.223538e+00
4,5.334442e-01,3.139981e+00
5,4.086541e-01,2.625446e+00
6,3.999056e-01,1.984113e+00
7,3.214093e-01,1.790620e+00
8,2.362724e-01,1.266071e+00
9,1.836764e-01,9.539973e-01
10,1.595265e-01,6.900247e-01
11,1.465647e-01,4.742171e-01
12,1.365298e-01,4.159440e-01
13,1.278778e-01,3.964820e-01
14,1.204538e-01,3.708336e-01
15,1.140518e-01,3.376420e-01
16,1.084634e-01,3.453576e-01
17,1.035529e-01,3.459361e-01
18,9.921223e-02,3.365967e-01
19,9.534195e-02,3.224247e-01
20,9.186002e-02,3.076262e-01
21,8.870861e-02,2.966817e-01
22,8.584505e-02,2.839198e-01
23,8.323382e-02,2.700412e-01
24,8.084387e-02,2.557785e-01
25,7.864923e-02,2.428653e-01
26,7.662673e-02,2.331469e-01
27,7.475730e-02,2.232965e-01
28,7.302614e-02,2.136009e-01
29,7.142048e-02,2.041362e-01
30,6.992808e-02,1.949968e-01
31,6.853868e-02,1.864397e-01
32,6.724318e-02,1.789136e-01
33,6.603434e-02,1.715297e-01
34,6.490483e-02,1.642947e-01
35,6.384960e-02,1.572525e-01
36,6.286311e-02,1.519207e-01
37,6.194150e-02,1.473275e-01
38,6.107956e-02,1.432006e-01
39,6.027505e-02,1.397068e-01
40,5.952296e-02,1.361872e-01
41,5.882272e-02,1.326796e-01
42,5.816993e-02,1.291798e-01
43,5.756525e-02,1.257157e-01
44,5.700489e-02,1.222787e-01
45,5.649041e-02,1.188906e-01
46,5.601858e-02,1.155414e-01
47,5.559195e-02,1.122481e-01
48,5.520814e-02,1.089938e-01
49,5.486774e-02,1.057763e-01
50,5.456639e-02,1.026063e-01
51,5.430847e-02,9.950223e-02
52,5.408920e-02,9.645903e-02
53,5.391498e-02,9.348862e-02
54,5.377978e-02,9.058331e-02
55,5.369269e-02,8.775492e-02
56,5.364573e-02,8.499394e-02
57,5.365134e-02,8.231275e-02
58,5.369878e-02,7.969960e-02
59,5.380519e-02,7.716809e-02
60,5.395559e-02,7.470290e-02
61,5.417149e-02,7.232057e-02
62,5.443531e-02,7.000368e-02
63,5.477132e-02,6.776854e-02
64,5.516028e-02,6.558884e-02
65,5.561121e-02,6.347861e-02
66,5.611447e-02,6.143714e-02
67,5.668417e-02,5.946933e-02
68,5.730755e-02,5.756794e-02
69,5.800278e-02,5.573722e-02
70,5.875303e-02,5.396867e-02
71,5.958135e-02,5.226755e-02
72,6.046641e-02,5.062537e-02
73,6.143682e-02,4.997969e-02
74,6.246476e-02,5.101624e-02
75,6.358588e-02,5.266821e-02
76,6.476547e-02,5.355410e-02
77,6.604697e-02,5.514671e-02
78,6.738739e-02,5.596990e-02
79,6.883970e-02,5.741778e-02
80,7.035120e-02,5.817896e-02
81,7.198602e-02,5.949456e-02
82,7.368016e-02,6.096832e-02
83,7.551083e-02,6.208564e-02
84,7.740091e-02,6.391475e-02
85,7.944186e-02,6.618794e-02
86,8.154134e-02,6.744133e-02
87,8.374691e-02,7.004889e-02
88,8.600868e-02,7.118220e-02
89,8.837372e-02,7.340860e-02
90,9.079140e-02,7.447572e-02
91,9.331530e-02,7.628105e-02
92,9.588856e-02,7.730251e-02
93,9.857079e-02,7.890204e-02
94,1.012988e-01,7.982255e-02
95,1.041394e-01,8.126420e-02
96,1.070221e-01,8.208537e-02
97,1.100220e-01,8.338946e-02
98,1.130591e-01,8.412425e-02
99,1.162175e-01,8.529824e-02
100,1.194085e-01,8.595787e-02
101,1.227249e-01,8.728361e-02
102,1.260670e-01,8.857192e-02
103,1.295398e-01,9.127605e-02
104,1.330305e-01,9.247902e-02
105,1.366563e-01,9.513058e-02
106,1.402906e-01,9.625890e-02
107,1.440652e-01,9.843440e-02
108,1.478364e-01,9.958939e-02
109,1.517530e-01,1.014267e-01
110,1.556534e-01,1.025884e-01
111,1.597047e-01,1.042896e-01
112,1.637234e-01,1.054065e-01
113,1.678987e-01,1.070215e-01
114,1.720231e-01,1.080961e-01
115,1.763097e-01,1.096296e-01
116,1.805244e-01,1.106281e-01
117,1.848288e-01,1.120340e-01
118,1.890105e-01,1.129257e-01
119,1.932530e-01,1.141901e-01
120,1.973531e-01,1.159293e-01
121,2.015115e-01,1.168046e-01
122,2.055084e-01,1.190417e-01
123,2.095626e-01,1.198162e-01
124,2.134362e-01,1.219604e-01
125,2.173696e-01,1.226348e-01
126,2.211021e-01,1.246709e-01
127,2.248986e-01,1.253550e-01
128,2.284746e-01,1.266496e-01
129,2.321205e-01,1.283707e-01
130,2.355256e-01,1.295582e-01
131,2.390090e-01,1.312006e-01
132,2.422308e-01,1.323280e-01
133,2.455431e-01,1.338807e-01
134,2.485732e-01,1.349122e-01
135,2.517079e-01,1.363823e-01
136,2.545401e-01,1.377702e-01
137,2.574940e-01,1.388081e-01
138,2.601269e-01,1.415337e-01
139,2.629008e-01,1.425064e-01
140,2.653363e-01,1.451967e-01
141,2.679360e-01,1.460996e-01
142,2.701794e-01,1.487472e-01
143,2.726126e-01,1.495961e-01
144,2.746727e-01,1.520381e-01
145,2.769496e-01,1.528709e-01
146,2.788371e-01,1.546585e-01
147,2.809719e-01,1.555974e-01
148,2.827004e-01,1.572330e-01
149,2.847079e-01,1.581530e-01
150,2.862918e-01,1.597069e-01
151,2.881885e-01,1.605834e-01
152,2.896449e-01,1.620905e-01
153,2.914491e-01,1.629003e-01
154,2.927959e-01,1.643768e-01
155,2.945272e-01,1.651331e-01
156,2.957836e-01,1.665855e-01
157,2.974619e-01,1.672971e-01
158,2.986240e-01,1.692992e-01
159,3.001589e-01,1.704021e-01
160,3.011420e-01,1.736533e-01
161,3.025456e-01,1.746564e-01
162,3.033883e-01,1.769908e-01
163,3.046841e-01,1.781142e-01
164,3.054196e-01,1.802264e-01
165,3.066126e-01,1.812931e-01
166,3.072738e-01,1.832687e-01
167,3.083927e-01,1.842348e-01
168,3.090080e-01,1.860974e-01
169,3.100766e-01,1.870031e-01
170,3.106717e-01,1.887856e-01
171,3.117119e-01,1.896469e-01
172,3.123079e-01,1.913557e-01
173,3.133392e-01,1.921797e-01
174,3.139547e-01,1.938169e-01
175,3.149919e-01,1.946105e-01
176,3.156426e-01,1.961926e-01
177,3.166973e-01,1.969535e-01
178,3.173970e-01,1.984884e-01
179,3.184808e-01,1.992130e-01
180,3.192389e-01,2.007000e-01
181,3.203606e-01,2.014055e-01
182,3.211863e-01,2.027890e-01
183,3.223520e-01,2.034890e-01
184,3.232533e-01,2.048111e-01
185,3.244683e-01,2.058589e-01
186,3.254509e-01,2.068901e-01
187,3.267198e-01,2.082144e-01
188,3.277883e-01,2.091993e-01
189,3.291134e-01,2.104987e-01
190,3.302723e-01,2.114515e-01
191,3.316553e-01,2.127312e-01
192,3.329087e-01,2.136539e-01
193,3.343517e-01,2.149128e-01
194,3.357013e-01,2.163020e-01
195,3.372058e-01,2.174058e-01
196,3.386546e-01,2.193083e-01
197,3.402200e-01,2.204072e-01
198,3.417704e-01,2.222453e-01
199,3.433962e-01,2.233375e-01
200,3.450502e-01,2.251396e-01
201,3.467362e-01,2.262129e-01
202,3.484958e-01,2.279853e-01
203,3.502419e-01,2.290631e-01
204,3.521093e-01,2.308066e-01
205,3.539144e-01,2.318923e-01
206,3.558914e-01,2.336135e-01
207,3.577547e-01,2.347037e-01
208,3.598435e-01,2.364016e-01
209,3.617643e-01,2.375028e-01
210,3.639671e-01,2.391809e-01
211,3.659438e-01,2.402952e-01
212,3.682646e-01,2.419539e-01
213,3.702969e-01,2.430774e-01
214,3.727382e-01,2.447068e-01
215,3.748165e-01,2.458473e-01
216,3.773818e-01,2.474120e-01
217,3.794432e-01,2.485852e-01
218,3.821440e-01,2.500847e-01
219,3.841965e-01,2.512721e-01
220,3.869984e-01,2.527091e-01
221,3.890527e-01,2.539171e-01
222,3.919612e-01,2.553020e-01
223,3.940275e-01,2.565102e-01
224,3.970048e-01,2.578517e-01
225,3.990970e-01,2.590074e-01
226,4.020459e-01,2.603128e-01
227,4.041883e-01,2.614234e-01
228,4.071231e-01,2.627115e-01
229,4.093354e-01,2.637826e-01
230,4.122665e-01,2.650668e-01
231,4.145641e-01,2.661036e-01
232,4.174992e-01,2.673982e-01
233,4.198946e-01,2.684031e-01
234,4.228398e-01,2.697196e-01
235,4.253446e-01,2.706933e-01
236,4.283043e-01,2.724457e-01
237,4.309292e-01,2.736729e-01
238,4.339063e-01,2.755446e-01
239,4.366620e-01,2.767314e-01
240,4.396608e-01,2.786308e-01
241,4.425575e-01,2.797753e-01
242,4.455803e-01,2.817034e-01
243,4.486278e-01,2.828058e-01
244,4.516765e-01,2.847671e-01
245,4.548848e-01,2.858255e-01
246,4.579609e-01,2.878256e-01
247,4.613406e-01,2.888377e-01
