iter,R_mom,R_div
1,1.929114e+00,1.167322e+01
2,1.144966e+00,8.718097e+00
3,1.089552e+00,8.164246e+00
4,1.212839e+00,8.847572e+00
5,1.478066e+00,7.833094e+00
6,1.724199e+00,8.813478e+00
7,1.787678e+00,7.566893e+00
8,1.746954e+00,7.874061e+00
9,1.705698e+00,6.768789e+00
10,1.606513e+00,6.426013e+00
11,1.570234e+00,5.442525e+00
12,1.554380e+00,5.757470e+00
13,1.565253e+00,5.465909e+00
14,1.564598e+00,5.329079e+00
15,1.574937e+00,5.125937e+00
16,1.571940e+00,4.792595e+00
17,1.588185e+00,4.670941e+00
18,1.609670e+00,4.527179e+00
19,1.633195e+00,4.554254e+00
20,1.677962e+00,4.415703e+00
21,1.714095e+00,4.188750e+00
22,1.741293e+00,3.968812e+00
23,1.728934e+00,3.573267e+00
24,1.693010e+00,3.257031e+00
25,1.610695e+00,3.136092e+00
26,1.563059e+00,3.086608e+00
27,1.490650e+00,3.289355e+00
28,1.472909e+00,3.236121e+00
29,1.431144e+00,3.331182e+00
30,1.410988e+00,3.307489e+00
31,1.401242e+00,3.325296e+00
32,1.394137e+00,3.368580e+00
33,1.411884e+00,3.340100e+00
34,1.419673e+00,3.482621e+00
35,1.455073e+00,3.428366e+00
36,1.467039e+00,3.536578e+00
37,1.503653e+00,3.501572e+00
38,1.533348e+00,3.555439e+00
39,1.560393e+00,3.593715e+00
40,1.608935e+00,3.566867e+00
41,1.636921e+00,3.663117e+00
42,1.689752e+00,3.603984e+00
43,1.716201e+00,3.630409e+00
44,1.753589e+00,3.637889e+00
45,1.794581e+00,3.619098e+00
46,1.816975e+00,3.645245e+00
47,1.857808e+00,3.552856e+00
48,1.872405e+00,3.556200e+00
49,1.909786e+00,3.534489e+00
50,1.917835e+00,3.431887e+00
51,1.929218e+00,3.457384e+00
52,1.954625e+00,3.495639e+00
53,1.959171e+00,3.461282e+00
54,1.980701e+00,3.440780e+00
55,1.975824e+00,3.419743e+00
56,2.004829e+00,3.411788e+00
57,2.002876e+00,3.391825e+00
