iter,R_mom,R_div
1,4.033780e+00,1.183661e+01
2,3.400569e+00,1.936531e+01
3,3.799372e+00,2.160119e+01
4,4.217700e+00,2.159788e+01
5,4.559564e+00,1.751524e+01
6,4.779539e+00,1.688905e+01
7,4.807147e+00,1.631645e+01
8,4.659323e+00,1.551849e+01
9,4.358071e+00,1.416554e+01
10,3.939855e+00,1.256524e+01
11,3.445430e+00,1.063254e+01
12,2.907265e+00,8.560194e+00
13,2.364656e+00,6.796448e+00
14,1.851086e+00,7.254272e+00
15,1.396520e+00,7.227992e+00
16,1.032642e+00,6.924036e+00
17,7.938603e-01,6.630533e+00
18,7.010252e-01,6.098513e+00
19,7.204469e-01,5.420995e+00
20,7.829291e-01,5.824837e+00
21,8.410323e-01,6.448186e+00
22,8.752252e-01,6.746104e+00
23,8.809328e-01,6.759221e+00
24,8.601237e-01,6.534392e+00
25,8.175824e-01,6.111796e+00
26,7.588125e-01,5.551119e+00
27,6.897719e-01,4.897672e+00
28,6.159973e-01,4.190222e+00
29,5.430138e-01,3.471508e+00
30,4.760664e-01,2.774654e+00
31,4.195895e-01,2.125052e+00
32,3.767452e-01,1.566706e+00
33,3.487119e-01,1.358067e+00
34,3.341097e-01,1.233610e+00
35,3.294147e-01,1.166050e+00
36,3.303268e-01,1.060667e+00
37,3.330917e-01,9.284106e-01
38,3.351432e-01,7.794008e-01
39,3.350707e-01,6.226729e-01
40,3.323656e-01,4.659970e-01
41,3.271714e-01,3.553802e-01
42,3.199927e-01,3.143347e-01
43,3.115319e-01,2.954000e-01
44,3.025324e-01,2.931213e-01
45,2.936662e-01,3.008781e-01
46,2.854606e-01,3.155839e-01
47,2.782671e-01,3.349551e-01
48,2.722176e-01,3.897539e-01
49,2.672912e-01,4.699998e-01
50,2.633236e-01,5.366728e-01
51,2.600941e-01,5.888325e-01
52,2.573513e-01,6.262835e-01
53,2.548786e-01,6.493085e-01
54,2.525093e-01,6.589911e-01
55,2.501235e-01,6.566160e-01
56,2.476777e-01,6.437181e-01
57,2.451590e-01,6.221028e-01
58,2.425822e-01,5.936719e-01
59,2.399910e-01,5.603070e-01
60,2.374309e-01,5.237902e-01
61,2.349328e-01,4.854918e-01
62,2.325355e-01,4.473317e-01
63,2.302651e-01,4.103393e-01
64,2.281216e-01,3.755349e-01
65,2.261019e-01,3.437067e-01
66,2.241947e-01,3.153941e-01
67,2.223820e-01,2.927681e-01
68,2.206455e-01,2.781255e-01
69,2.189696e-01,2.646527e-01
70,2.173394e-01,2.527117e-01
71,2.157457e-01,2.422068e-01
72,2.141846e-01,2.330986e-01
73,2.126487e-01,2.253042e-01
74,2.111384e-01,2.187026e-01
75,2.096570e-01,2.166269e-01
76,2.082057e-01,2.172241e-01
77,2.067874e-01,2.185727e-01
78,2.054018e-01,2.202665e-01
79,2.040454e-01,2.218296e-01
80,2.027194e-01,2.233777e-01
81,2.014241e-01,2.245241e-01
82,2.001599e-01,2.251104e-01
83,1.989268e-01,2.250426e-01
84,1.977232e-01,2.242708e-01
85,1.965458e-01,2.227977e-01
86,1.953943e-01,2.206506e-01
87,1.942683e-01,2.178902e-01
88,1.931612e-01,2.145926e-01
89,1.920748e-01,2.108329e-01
90,1.910115e-01,2.066938e-01
