iter,R_mom,R_div
1,1.206167e+00,4.987864e+00
2,1.252013e+00,5.388579e+00
3,1.009322e+00,5.800846e+00
4,8.736753e-01,5.369561e+00
5,8.776690e-01,4.447839e+00
6,8.582788e-01,3.405843e+00
7,7.739837e-01,2.780122e+00
8,6.462341e-01,1.944781e+00
9,5.061680e-01,1.734933e+00
10,3.757704e-01,2.005874e+00
11,2.777337e-01,2.102857e+00
12,2.353721e-01,2.571121e+00
13,2.479143e-01,2.781471e+00
14,2.798843e-01,3.025711e+00
15,3.040483e-01,3.320502e+00
16,3.110856e-01,3.407814e+00
17,2.999977e-01,3.278693e+00
18,2.750572e-01,2.912813e+00
19,2.400039e-01,2.313886e+00
20,2.001519e-01,1.635062e+00
21,1.600572e-01,1.095668e+00
22,1.255722e-01,1.178514e+00
23,1.032068e-01,1.174903e+00
24,9.687344e-02,1.202150e+00
25,1.024532e-01,1.303548e+00
26,1.117740e-01,1.315496e+00
27,1.191136e-01,1.244017e+00
28,1.220248e-01,1.100406e+00
29,1.201182e-01,9.353654e-01
30,1.140548e-01,8.013171e-01
31,1.051952e-01,6.251054e-01
32,9.523862e-02,4.250053e-01
33,8.596069e-02,4.128705e-01
34,7.885599e-02,4.343945e-01
35,7.469460e-02,4.298571e-01
36,7.330116e-02,4.526303e-01
37,7.370505e-02,4.820204e-01
38,7.470911e-02,4.731325e-01
39,7.538764e-02,4.569781e-01
40,7.522108e-02,4.193358e-01
41,7.411564e-02,3.656772e-01
42,7.225609e-02,3.018526e-01
43,6.996236e-02,2.337929e-01
44,6.761528e-02,1.669261e-01
45,6.555036e-02,1.829082e-01
46,6.396626e-02,2.075638e-01
47,6.291993e-02,2.226988e-01
48,6.232814e-02,2.284081e-01
49,6.203365e-02,2.254895e-01
50,6.186524e-02,2.152504e-01
51,6.167417e-02,1.993482e-01
52,6.137646e-02,1.796319e-01
53,6.094916e-02,1.579518e-01
54,6.041486e-02,1.360134e-01
55,5.982438e-02,1.187495e-01
56,5.923417e-02,1.066261e-01
57,5.869094e-02,9.488679e-02
58,5.822114e-02,9.098817e-02
59,5.783085e-02,1.009281e-01
60,5.750792e-02,1.067078e-01
61,5.722879e-02,1.084737e-01
62,5.697033e-02,1.066090e-01
63,5.671350e-02,1.016840e-01
64,5.644838e-02,9.439337e-02
65,5.617134e-02,8.549118e-02
66,5.588743e-02,7.574027e-02
67,5.560650e-02,7.474691e-02
68,5.533339e-02,7.845678e-02
69,5.507446e-02,8.119798e-02
70,5.483110e-02,8.281400e-02
71,5.460334e-02,8.324688e-02
72,5.438979e-02,8.252930e-02
73,5.418807e-02,8.077376e-02
74,5.399399e-02,7.814910e-02
75,5.380484e-02,7.486212e-02
76,5.361956e-02,7.113866e-02
77,5.343555e-02,6.720395e-02
78,5.325369e-02,6.326325e-02
79,5.307575e-02,5.949244e-02
80,5.290288e-02,5.603225e-02
81,5.273468e-02,5.298307e-02
82,5.257256e-02,5.040582e-02
83,5.241690e-02,4.832127e-02
84,5.226558e-02,4.671904e-02
85,5.211884e-02,4.555923e-02
86,5.197654e-02,4.477731e-02
87,5.183742e-02,4.429446e-02
88,5.170201e-02,4.402669e-02
89,5.157038e-02,4.389197e-02
90,5.144085e-02,4.381336e-02
91,5.131415e-02,4.372483e-02
92,5.119096e-02,4.357272e-02
93,5.107085e-02,4.331876e-02
94,5.095323e-02,4.293917e-02
95,5.083888e-02,4.242337e-02
96,5.072716e-02,4.177305e-02
97,5.061838e-02,4.100150e-02
98,5.051293e-02,4.012937e-02
99,5.040980e-02,3.918189e-02
100,5.030843e-02,3.818851e-02
101,5.021002e-02,3.717795e-02
102,5.011392e-02,3.617709e-02
103,5.001915e-02,3.520912e-02
104,4.992625e-02,3.429192e-02
105,4.983557e-02,3.343798e-02
106,4.974667e-02,3.265516e-02
107,4.966026e-02,3.194603e-02
108,4.957553e-02,3.130908e-02
109,4.949180e-02,3.073836e-02
110,4.940997e-02,3.022525e-02
111,4.932989e-02,2.975943e-02
112,4.925137e-02,2.932999e-02
113,4.917445e-02,2.892605e-02
114,4.909887e-02,2.853706e-02
115,4.902427e-02,2.815383e-02
116,4.895108e-02,2.776908e-02
117,4.887950e-02,2.737743e-02
118,4.880882e-02,2.697577e-02
119,4.873946e-02,2.656242e-02
120,4.867134e-02,2.613727e-02
121,4.860378e-02,2.570189e-02
122,4.853784e-02,2.525881e-02
123,4.847273e-02,2.481167e-02
124,4.840840e-02,2.436399e-02
125,4.834539e-02,2.391928e-02
126,4.828308e-02,2.348091e-02
127,4.822173e-02,2.305191e-02
128,4.816130e-02,2.263485e-02
129,4.810153e-02,2.223217e-02
130,4.804254e-02,2.184479e-02
131,4.798462e-02,2.147267e-02
132,4.792734e-02,2.111528e-02
133,4.787076e-02,2.077180e-02
134,4.781488e-02,2.044096e-02
135,4.775957e-02,2.012123e-02
136,4.770490e-02,1.981104e-02
137,4.765130e-02,1.950886e-02
138,4.759794e-02,1.921343e-02
139,4.754511e-02,1.892353e-02
140,4.749296e-02,1.863807e-02
141,4.744117e-02,1.835629e-02
142,4.739020e-02,1.807765e-02
143,4.733980e-02,1.780202e-02
144,4.728943e-02,1.752937e-02
145,4.723969e-02,1.725978e-02
146,4.719073e-02,1.699337e-02
147,4.714248e-02,1.673017e-02
148,4.709471e-02,1.647075e-02
149,4.704717e-02,1.621584e-02
150,4.699985e-02,1.596587e-02
151,4.695304e-02,1.572115e-02
152,4.690668e-02,1.548192e-02
153,4.686055e-02,1.524835e-02
154,4.681477e-02,1.502044e-02
155,4.676904e-02,1.479834e-02
156,4.672366e-02,1.458206e-02
157,4.667880e-02,1.437255e-02
158,4.663402e-02,1.417055e-02
159,4.658942e-02,1.397543e-02
160,4.654513e-02,1.378593e-02
161,4.650085e-02,1.360066e-02
162,4.645705e-02,1.341855e-02
163,4.641343e-02,1.323888e-02
164,4.636977e-02,1.306118e-02
165,4.632637e-02,1.288515e-02
166,4.628309e-02,1.271074e-02
167,4.624008e-02,1.253804e-02
168,4.619721e-02,1.236726e-02
169,4.615429e-02,1.219853e-02
170,4.611142e-02,1.203253e-02
171,4.606881e-02,1.186967e-02
172,4.602629e-02,1.170967e-02
173,4.598380e-02,1.155237e-02
174,4.594135e-02,1.139746e-02
175,4.589882e-02,1.124470e-02
176,4.585648e-02,1.109409e-02
177,4.581436e-02,1.094575e-02
178,4.577207e-02,1.079984e-02
179,4.572977e-02,1.065640e-02
180,4.568744e-02,1.051541e-02
181,4.564515e-02,1.049502e-02
182,4.560313e-02,1.049163e-02
183,4.556084e-02,1.048641e-02
184,4.551845e-02,1.047974e-02
185,4.547609e-02,1.047297e-02
186,4.543372e-02,1.046692e-02
187,4.539150e-02,1.046204e-02
188,4.534909e-02,1.045864e-02
189,4.530647e-02,1.045687e-02
