iter,R_mom,R_div
1,8.709875e-01,4.987864e+00
2,7.959792e-01,4.766033e+00
3,5.384214e-01,4.893916e+00
4,3.949376e-01,4.743323e+00
5,3.887729e-01,4.415254e+00
6,3.787679e-01,4.022773e+00
7,3.467052e-01,3.591983e+00
8,3.128084e-01,3.123332e+00
9,2.813440e-01,2.582727e+00
10,2.510843e-01,2.170639e+00
11,2.226087e-01,1.782797e+00
12,1.977079e-01,1.730896e+00
13,1.785279e-01,1.953678e+00
14,1.652312e-01,2.112196e+00
15,1.563196e-01,2.146057e+00
16,1.500933e-01,2.282325e+00
17,1.446629e-01,2.523087e+00
18,1.386794e-01,2.646960e+00
19,1.320619e-01,2.667416e+00
20,1.250188e-01,2.777866e+00
21,1.179012e-01,2.788973e+00
22,1.107376e-01,2.707531e+00
23,1.040636e-01,2.543648e+00
24,9.780336e-02,2.309354e+00
25,9.214239e-02,2.019849e+00
26,8.701015e-02,1.692973e+00
27,8.237266e-02,1.347852e+00
28,7.818119e-02,1.067179e+00
29,7.432773e-02,8.143063e-01
30,7.082958e-02,7.773940e-01
31,6.778953e-02,7.125860e-01
32,6.514389e-02,6.455048e-01
33,6.287774e-02,6.798274e-01
34,6.095824e-02,6.835010e-01
35,5.933496e-02,6.598539e-01
36,5.800835e-02,6.132697e-01
37,5.692876e-02,5.489768e-01
38,5.598703e-02,4.725696e-01
39,5.513795e-02,4.116419e-01
40,5.434238e-02,3.554289e-01
41,5.358580e-02,3.190995e-01
42,5.286216e-02,2.855314e-01
43,5.216845e-02,2.482115e-01
44,5.150907e-02,2.095575e-01
45,5.089639e-02,1.715050e-01
46,5.032602e-02,1.591030e-01
47,4.979751e-02,1.477758e-01
48,4.930987e-02,1.366817e-01
49,4.885669e-02,1.285231e-01
50,4.843414e-02,1.315956e-01
51,4.803705e-02,1.327210e-01
52,4.766102e-02,1.372096e-01
53,4.730477e-02,1.368064e-01
54,4.696388e-02,1.326614e-01
55,4.663815e-02,1.258057e-01
56,4.632388e-02,1.171402e-01
57,4.602004e-02,1.074296e-01
58,4.572840e-02,9.729711e-02
59,4.544570e-02,8.723073e-02
60,4.517457e-02,7.758673e-02
61,4.491591e-02,6.860778e-02
62,4.466568e-02,6.045303e-02
63,4.442427e-02,5.448284e-02
64,4.418937e-02,5.308914e-02
65,4.396273e-02,5.183086e-02
66,4.374235e-02,5.066969e-02
67,4.352689e-02,4.957037e-02
68,4.331778e-02,4.850282e-02
69,4.311425e-02,4.744340e-02
70,4.291707e-02,4.637583e-02
71,4.272454e-02,4.529066e-02
72,4.253617e-02,4.418434e-02
73,4.235262e-02,4.305827e-02
74,4.217376e-02,4.191765e-02
75,4.199991e-02,4.077055e-02
76,4.182947e-02,3.962658e-02
77,4.166263e-02,3.849548e-02
78,4.149965e-02,3.738656e-02
79,4.134056e-02,3.630792e-02
80,4.118549e-02,3.526621e-02
81,4.103324e-02,3.426618e-02
82,4.088395e-02,3.331049e-02
83,4.073952e-02,3.239970e-02
84,4.059942e-02,3.153158e-02
85,4.046270e-02,3.070386e-02
86,4.032816e-02,2.991485e-02
87,4.019620e-02,2.916132e-02
88,4.006735e-02,2.843931e-02
89,3.994101e-02,2.774462e-02
90,3.981751e-02,2.707319e-02
91,3.969578e-02,2.642132e-02
92,3.957638e-02,2.578572e-02
93,3.945975e-02,2.516379e-02
94,3.934513e-02,2.455360e-02
95,3.923285e-02,2.395382e-02
96,3.912198e-02,2.336364e-02
97,3.901335e-02,2.278265e-02
98,3.890712e-02,2.221091e-02
99,3.880249e-02,2.164878e-02
100,3.869977e-02,2.109678e-02
101,3.859835e-02,2.055549e-02
102,3.849912e-02,2.002550e-02
103,3.840167e-02,1.950741e-02
104,3.830561e-02,1.900177e-02
105,3.821116e-02,1.850906e-02
106,3.811799e-02,1.802958e-02
107,3.802685e-02,1.767637e-02
108,3.793692e-02,1.741086e-02
109,3.784833e-02,1.716608e-02
110,3.776108e-02,1.694118e-02
111,3.767519e-02,1.673459e-02
112,3.759097e-02,1.654432e-02
113,3.750767e-02,1.636810e-02
114,3.742570e-02,1.620344e-02
115,3.734479e-02,1.604802e-02
116,3.726530e-02,1.589953e-02
117,3.718702e-02,1.575591e-02
118,3.710961e-02,1.561535e-02
119,3.703338e-02,1.547630e-02
120,3.695821e-02,1.533751e-02
121,3.688429e-02,1.519796e-02
122,3.681119e-02,1.505695e-02
123,3.673903e-02,1.491392e-02
124,3.666790e-02,1.476857e-02
125,3.659791e-02,1.462071e-02
126,3.652947e-02,1.447053e-02
127,3.646167e-02,1.431937e-02
128,3.639484e-02,1.416621e-02
129,3.632885e-02,1.401070e-02
130,3.626377e-02,1.385286e-02
131,3.619941e-02,1.369305e-02
132,3.613574e-02,1.353173e-02
133,3.607294e-02,1.336937e-02
134,3.601090e-02,1.320643e-02
135,3.594962e-02,1.304316e-02
136,3.588887e-02,1.287932e-02
137,3.582890e-02,1.271507e-02
138,3.576967e-02,1.255082e-02
139,3.571105e-02,1.238702e-02
140,3.565305e-02,1.222371e-02
141,3.559560e-02,1.206101e-02
142,3.553889e-02,1.189924e-02
143,3.548273e-02,1.173877e-02
144,3.542718e-02,1.157987e-02
145,3.537207e-02,1.142277e-02
146,3.531762e-02,1.126761e-02
147,3.526375e-02,1.111449e-02
