iter,R_mom,R_div
1,1.167201e+00,7.951589e+00
2,1.218969e+00,7.426665e+00
3,9.306681e-01,7.887345e+00
4,6.253563e-01,8.187616e+00
5,5.701750e-01,8.039621e+00
6,6.007865e-01,7.634863e+00
7,5.795415e-01,7.093202e+00
8,5.390954e-01,6.473620e+00
9,4.931910e-01,5.703497e+00
10,4.509299e-01,4.820027e+00
11,4.072494e-01,3.846496e+00
12,3.612146e-01,2.807384e+00
13,3.175141e-01,3.010649e+00
14,2.808846e-01,3.233313e+00
15,2.533814e-01,3.326315e+00
16,2.338632e-01,3.687284e+00
17,2.206613e-01,3.943758e+00
18,2.117877e-01,4.191067e+00
19,2.055263e-01,4.192769e+00
20,2.001816e-01,4.443014e+00
21,1.944206e-01,4.816420e+00
22,1.877038e-01,5.023651e+00
23,1.797901e-01,5.067776e+00
24,1.705811e-01,4.957655e+00
25,1.607084e-01,4.705456e+00
26,1.501200e-01,4.330194e+00
27,1.391781e-01,3.856001e+00
28,1.282492e-01,3.308719e+00
29,1.176817e-01,2.714758e+00
30,1.079503e-01,2.102082e+00
31,9.942027e-02,1.498105e+00
32,9.224424e-02,1.225525e+00
33,8.665934e-02,1.276076e+00
34,8.247786e-02,1.273325e+00
35,7.945836e-02,1.304271e+00
36,7.735791e-02,1.325351e+00
37,7.585596e-02,1.288327e+00
38,7.468004e-02,1.204617e+00
39,7.362319e-02,1.118005e+00
40,7.252895e-02,1.119159e+00
41,7.133200e-02,1.069715e+00
42,7.002689e-02,9.809510e-01
43,6.869298e-02,8.635382e-01
44,6.730990e-02,7.268198e-01
45,6.592851e-02,5.796177e-01
46,6.459527e-02,4.295775e-01
47,6.334461e-02,3.658978e-01
48,6.219833e-02,3.596524e-01
49,6.116785e-02,3.613797e-01
50,6.025350e-02,3.677158e-01
51,5.944661e-02,3.609798e-01
52,5.873358e-02,3.688105e-01
53,5.809580e-02,3.747643e-01
54,5.752213e-02,3.688904e-01
55,5.699262e-02,3.735424e-01
56,5.649097e-02,3.840377e-01
57,5.601973e-02,3.824923e-01
58,5.556746e-02,3.708963e-01
59,5.511870e-02,3.512379e-01
60,5.467224e-02,3.254047e-01
61,5.422665e-02,2.951636e-01
62,5.378432e-02,2.621399e-01
63,5.334940e-02,2.277834e-01
64,5.292725e-02,1.933471e-01
65,5.251671e-02,1.598823e-01
66,5.211863e-02,1.282134e-01
67,5.173430e-02,1.053635e-01
68,5.136418e-02,9.227874e-02
69,5.100833e-02,9.962993e-02
70,5.066895e-02,1.065290e-01
71,5.034524e-02,1.119105e-01
72,5.003153e-02,1.157953e-01
73,4.972641e-02,1.182478e-01
74,4.944192e-02,1.193454e-01
75,4.916653e-02,1.191832e-01
76,4.889715e-02,1.179066e-01
77,4.863307e-02,1.156744e-01
78,4.837352e-02,1.126479e-01
79,4.812314e-02,1.089813e-01
80,4.787688e-02,1.048211e-01
81,4.763479e-02,1.003210e-01
82,4.741891e-02,9.560668e-02
83,4.720919e-02,9.077267e-02
84,4.700431e-02,8.595940e-02
85,4.680409e-02,8.128664e-02
86,4.660862e-02,7.684830e-02
87,4.641764e-02,7.271456e-02
88,4.623132e-02,6.893506e-02
89,4.604945e-02,6.554133e-02
90,4.587150e-02,6.254905e-02
91,4.569738e-02,5.995996e-02
92,4.552699e-02,5.776357e-02
93,4.536004e-02,5.593897e-02
94,4.519670e-02,5.445702e-02
95,4.503671e-02,5.328221e-02
96,4.487948e-02,5.237435e-02
97,4.472708e-02,5.168886e-02
98,4.457936e-02,5.117794e-02
99,4.443434e-02,5.079767e-02
100,4.429213e-02,5.051081e-02
101,4.415263e-02,5.028183e-02
102,4.401529e-02,5.007791e-02
103,4.388052e-02,4.986983e-02
104,4.374811e-02,4.963311e-02
105,4.361790e-02,4.934810e-02
106,4.349016e-02,4.900020e-02
107,4.336456e-02,4.857986e-02
108,4.324083e-02,4.808182e-02
109,4.311925e-02,4.750485e-02
110,4.299971e-02,4.685129e-02
111,4.288198e-02,4.612636e-02
112,4.276633e-02,4.533729e-02
113,4.265247e-02,4.449318e-02
114,4.254015e-02,4.360406e-02
115,4.242976e-02,4.268054e-02
116,4.232110e-02,4.173350e-02
117,4.221397e-02,4.077355e-02
118,4.210861e-02,3.981071e-02
119,4.200654e-02,3.885298e-02
120,4.190617e-02,3.790589e-02
121,4.180746e-02,3.697803e-02
122,4.171021e-02,3.607731e-02
123,4.161423e-02,3.520945e-02
124,4.151972e-02,3.437828e-02
125,4.142648e-02,3.358613e-02
126,4.133446e-02,3.283405e-02
127,4.124385e-02,3.212210e-02
128,4.115446e-02,3.144961e-02
129,4.106619e-02,3.081519e-02
130,4.097926e-02,3.021690e-02
131,4.089334e-02,2.965243e-02
132,4.080857e-02,2.911913e-02
133,4.072506e-02,2.861414e-02
134,4.064251e-02,2.813456e-02
135,4.056097e-02,2.767744e-02
136,4.048064e-02,2.723983e-02
137,4.040117e-02,2.681905e-02
138,4.032272e-02,2.641250e-02
139,4.024539e-02,2.601786e-02
140,4.016886e-02,2.563313e-02
141,4.009340e-02,2.525643e-02
142,4.001891e-02,2.488613e-02
143,3.994526e-02,2.452118e-02
144,3.987255e-02,2.416072e-02
145,3.980186e-02,2.380342e-02
146,3.973188e-02,2.344741e-02
147,3.966280e-02,2.309376e-02
148,3.959451e-02,2.274333e-02
149,3.952693e-02,2.239668e-02
150,3.946023e-02,2.205414e-02
151,3.939420e-02,2.171598e-02
152,3.932889e-02,2.138244e-02
153,3.926437e-02,2.105381e-02
154,3.920053e-02,2.073039e-02
155,3.913736e-02,2.041254e-02
156,3.907497e-02,2.010058e-02
157,3.901313e-02,1.979484e-02
158,3.895202e-02,1.949556e-02
159,3.889159e-02,1.920297e-02
160,3.883174e-02,1.891723e-02
161,3.877254e-02,1.863841e-02
162,3.871400e-02,1.836655e-02
163,3.865600e-02,1.810160e-02
164,3.859864e-02,1.784347e-02
165,3.854188e-02,1.759201e-02
166,3.848565e-02,1.734703e-02
167,3.843006e-02,1.710831e-02
168,3.837496e-02,1.687560e-02
169,3.832042e-02,1.664861e-02
170,3.826648e-02,1.642706e-02
171,3.821301e-02,1.621065e-02
172,3.816008e-02,1.599910e-02
173,3.810769e-02,1.579211e-02
174,3.805578e-02,1.558940e-02
175,3.800438e-02,1.539071e-02
176,3.795349e-02,1.519580e-02
177,3.790303e-02,1.500446e-02
178,3.785311e-02,1.481646e-02
179,3.780361e-02,1.463163e-02
180,3.775458e-02,1.444982e-02
181,3.770604e-02,1.427088e-02
182,3.765791e-02,1.409470e-02
183,3.761025e-02,1.392115e-02
184,3.756354e-02,1.374984e-02
185,3.751723e-02,1.358008e-02
186,3.747135e-02,1.341240e-02
187,3.742587e-02,1.324716e-02
188,3.738077e-02,1.308451e-02
189,3.733607e-02,1.292445e-02
190,3.729177e-02,1.276692e-02
191,3.724783e-02,1.261183e-02
192,3.720429e-02,1.245911e-02
193,3.716108e-02,1.230868e-02
194,3.711827e-02,1.221488e-02
195,3.707581e-02,1.213466e-02
196,3.703369e-02,1.205504e-02
197,3.699195e-02,1.197596e-02
198,3.695052e-02,1.189737e-02
199,3.690944e-02,1.181921e-02
200,3.686870e-02,1.174144e-02
201,3.682828e-02,1.166402e-02
202,3.678819e-02,1.158693e-02
203,3.674842e-02,1.151015e-02
204,3.670896e-02,1.143366e-02
205,3.666983e-02,1.135748e-02
206,3.663099e-02,1.128158e-02
207,3.659245e-02,1.120598e-02
208,3.655423e-02,1.113068e-02
209,3.651628e-02,1.105568e-02
210,3.647863e-02,1.098099e-02
211,3.644128e-02,1.090662e-02
212,3.640419e-02,1.083258e-02
213,3.636739e-02,1.075887e-02
214,3.633085e-02,1.068549e-02
215,3.629459e-02,1.061246e-02
216,3.625861e-02,1.053978e-02
217,3.622287e-02,1.046745e-02
218,3.618740e-02,1.039548e-02
219,3.615218e-02,1.032385e-02
220,3.611722e-02,1.025259e-02
221,3.608251e-02,1.018169e-02
222,3.604808e-02,1.011111e-02
223,3.601393e-02,1.004092e-02
224,3.598002e-02,9.971182e-03
225,3.594635e-02,9.901824e-03
226,3.591290e-02,9.832781e-03
227,3.587969e-02,9.764025e-03
228,3.584670e-02,9.695545e-03
229,3.581394e-02,9.627338e-03
230,3.578140e-02,9.559410e-03
231,3.574907e-02,9.491764e-03
232,3.571697e-02,9.424404e-03
233,3.568506e-02,9.357335e-03
234,3.565337e-02,9.290553e-03
235,3.562189e-02,9.224059e-03
236,3.559061e-02,9.157853e-03
237,3.555953e-02,9.091931e-03
238,3.552865e-02,9.026291e-03
239,3.549796e-02,8.960935e-03
240,3.546747e-02,8.895857e-03
241,3.543716e-02,8.831063e-03
242,3.540705e-02,8.766549e-03
243,3.537711e-02,8.702320e-03
244,3.534737e-02,8.638380e-03
245,3.531780e-02,8.574730e-03
246,3.528840e-02,8.511378e-03
247,3.525919e-02,8.448328e-03
248,3.523014e-02,8.385585e-03
249,3.520127e-02,8.323112e-03
250,3.517256e-02,8.260665e-03
251,3.514402e-02,8.198190e-03
252,3.511565e-02,8.135747e-03
253,3.508743e-02,8.073435e-03
254,3.505938e-02,8.011351e-03
255,3.503147e-02,7.949567e-03
256,3.500374e-02,7.888132e-03
257,3.497614e-02,7.827079e-03
258,3.494870e-02,7.766287e-03
259,3.492142e-02,7.705699e-03
260,3.489426e-02,7.645347e-03
261,3.486736e-02,7.585230e-03
262,3.484063e-02,7.525613e-03
263,3.481406e-02,7.466612e-03
264,3.478763e-02,7.408103e-03
265,3.476132e-02,7.350011e-03
266,3.473516e-02,7.292308e-03
267,3.470912e-02,7.234997e-03
268,3.468321e-02,7.198222e-03
269,3.465743e-02,7.187465e-03
270,3.463178e-02,7.176619e-03
271,3.460625e-02,7.165692e-03
272,3.458084e-02,7.154690e-03
273,3.455556e-02,7.143617e-03
274,3.453039e-02,7.132479e-03
275,3.450534e-02,7.121279e-03
276,3.448041e-02,7.110021e-03
277,3.445560e-02,7.098711e-03
278,3.443089e-02,7.087350e-03
279,3.440630e-02,7.075944e-03
280,3.438182e-02,7.064495e-03
281,3.435744e-02,7.053006e-03
282,3.433317e-02,7.041480e-03
283,3.430901e-02,7.029917e-03
284,3.428496e-02,7.018320e-03
285,3.426100e-02,7.006689e-03
286,3.423715e-02,6.995027e-03
287,3.421339e-02,6.983334e-03
288,3.418973e-02,6.971612e-03
289,3.416617e-02,6.959863e-03
290,3.414270e-02,6.948085e-03
291,3.411934e-02,6.936279e-03
292,3.409605e-02,6.924445e-03
293,3.407287e-02,6.912582e-03
294,3.404976e-02,6.900690e-03
295,3.402675e-02,6.888767e-03
296,3.400383e-02,6.876814e-03
297,3.398098e-02,6.864827e-03
298,3.395824e-02,6.852809e-03
299,3.393555e-02,6.840756e-03
300,3.391296e-02,6.828669e-03
301,3.389045e-02,6.816546e-03
302,3.386801e-02,6.804383e-03
303,3.384566e-02,6.792185e-03
304,3.382337e-02,6.779964e-03
305,3.380117e-02,6.767723e-03
306,3.377904e-02,6.755465e-03
