iter,R_mom,R_div
1,1.600013e+00,4.987864e+00
2,1.794165e+00,6.317578e+00
3,1.458333e+00,7.464953e+00
4,1.146114e+00,8.037803e+00
5,1.160408e+00,8.277652e+00
6,1.240738e+00,8.028996e+00
7,1.244218e+00,7.441972e+00
8,1.226475e+00,6.645637e+00
9,1.194675e+00,5.652418e+00
10,1.149476e+00,4.856354e+00
11,1.088169e+00,4.892732e+00
12,1.011836e+00,4.676758e+00
13,9.249133e-01,4.247628e+00
14,8.310327e-01,4.760263e+00
15,7.346127e-01,5.076546e+00
16,6.380455e-01,5.135959e+00
17,5.435445e-01,4.999208e+00
18,4.547923e-01,4.866408e+00
19,3.759624e-01,5.188382e+00
20,3.137342e-01,5.239163e+00
21,2.748657e-01,5.130461e+00
22,2.619602e-01,4.932412e+00
23,2.725471e-01,4.679468e+00
24,2.982654e-01,4.386942e+00
25,3.298622e-01,4.161487e+00
26,3.605257e-01,4.166406e+00
27,3.858307e-01,4.059902e+00
28,4.034777e-01,3.865398e+00
29,4.124448e-01,3.598750e+00
30,4.125451e-01,3.271484e+00
31,4.041694e-01,2.893152e+00
32,3.879952e-01,2.472555e+00
33,3.650828e-01,2.018443e+00
34,3.366142e-01,1.901908e+00
35,3.038830e-01,1.921802e+00
36,2.682427e-01,1.897415e+00
37,2.311009e-01,1.838566e+00
38,1.941223e-01,1.751091e+00
39,1.590656e-01,1.639764e+00
40,1.280623e-01,1.687124e+00
41,1.042796e-01,1.856055e+00
42,9.183580e-02,2.002874e+00
43,9.265223e-02,2.088357e+00
44,1.033877e-01,2.097291e+00
45,1.184964e-01,2.079128e+00
46,1.339894e-01,1.998673e+00
47,1.476882e-01,1.869008e+00
48,1.585040e-01,1.701921e+00
49,1.659425e-01,1.507684e+00
50,1.698508e-01,1.295197e+00
51,1.702927e-01,1.072156e+00
52,1.674687e-01,9.031797e-01
53,1.616889e-01,7.626503e-01
54,1.533417e-01,7.259688e-01
55,1.428791e-01,6.749327e-01
56,1.307957e-01,6.495836e-01
57,1.176692e-01,6.684277e-01
58,1.040911e-01,6.695958e-01
59,9.076352e-02,6.553386e-01
60,7.843879e-02,6.380159e-01
61,6.800047e-02,7.340629e-01
62,6.040739e-02,8.022364e-01
63,5.644404e-02,8.431028e-01
64,5.615922e-02,8.590627e-01
65,5.872281e-02,8.530249e-01
66,6.290478e-02,8.279333e-01
67,6.759406e-02,7.865561e-01
68,7.201008e-02,7.314344e-01
69,7.567594e-02,6.649165e-01
70,7.832909e-02,5.891994e-01
71,7.983969e-02,5.063783e-01
72,8.019298e-02,4.185279e-01
73,7.944522e-02,3.409115e-01
74,7.770998e-02,3.085894e-01
75,7.513513e-02,2.922397e-01
76,7.190464e-02,2.738792e-01
77,6.822923e-02,2.877901e-01
78,6.433322e-02,2.932603e-01
79,6.045036e-02,2.910207e-01
80,5.681214e-02,2.818612e-01
81,5.363835e-02,2.833606e-01
82,5.110688e-02,3.211009e-01
83,4.932986e-02,3.472868e-01
84,4.832225e-02,3.624177e-01
85,4.801031e-02,3.672847e-01
86,4.824800e-02,3.628576e-01
87,4.885206e-02,3.502114e-01
88,4.963622e-02,3.304764e-01
89,5.043772e-02,3.048058e-01
90,5.112739e-02,2.743484e-01
91,5.161474e-02,2.402335e-01
92,5.184605e-02,2.083758e-01
93,5.179943e-02,1.780542e-01
94,5.148005e-02,1.541343e-01
95,5.091432e-02,1.322850e-01
96,5.014505e-02,1.267018e-01
97,4.922648e-02,1.189133e-01
98,4.821953e-02,1.121481e-01
99,4.718682e-02,1.137959e-01
100,4.618803e-02,1.126266e-01
101,4.527529e-02,1.089708e-01
102,4.448901e-02,1.140366e-01
103,4.385670e-02,1.284114e-01
104,4.338723e-02,1.386481e-01
105,4.307574e-02,1.448238e-01
106,4.290459e-02,1.471240e-01
107,4.284712e-02,1.458049e-01
108,4.287119e-02,1.412021e-01
109,4.294350e-02,1.337166e-01
110,4.303294e-02,1.237760e-01
111,4.311297e-02,1.118200e-01
112,4.316334e-02,9.922645e-02
113,4.317035e-02,8.743378e-02
114,4.312687e-02,7.451839e-02
115,4.303175e-02,6.408935e-02
116,4.288913e-02,5.321252e-02
117,4.270672e-02,4.258921e-02
118,4.249496e-02,4.212731e-02
119,4.226552e-02,4.420390e-02
120,4.203032e-02,4.510639e-02
121,4.180040e-02,4.491635e-02
122,4.158492e-02,4.373196e-02
123,4.139062e-02,4.615176e-02
124,4.122179e-02,5.208066e-02
125,4.107996e-02,5.635375e-02
126,4.096431e-02,5.901696e-02
127,4.087200e-02,6.014832e-02
128,4.079872e-02,5.985314e-02
129,4.073949e-02,5.825921e-02
130,4.068894e-02,5.551201e-02
131,4.064205e-02,5.177002e-02
132,4.059447e-02,4.720021e-02
133,4.054397e-02,4.259011e-02
134,4.048706e-02,3.788883e-02
135,4.042254e-02,3.275808e-02
136,4.035030e-02,3.114027e-02
137,4.027110e-02,3.083203e-02
138,4.018642e-02,3.008323e-02
139,4.009809e-02,2.894855e-02
140,4.000825e-02,2.748701e-02
141,3.991911e-02,2.576207e-02
142,3.983263e-02,2.384086e-02
143,3.975043e-02,2.178590e-02
144,3.967381e-02,1.965543e-02
145,3.960342e-02,1.829427e-02
146,3.953960e-02,2.015569e-02
147,3.948218e-02,2.136494e-02
148,3.943057e-02,2.194658e-02
149,3.938397e-02,2.193760e-02
150,3.934149e-02,2.138561e-02
151,3.930214e-02,2.034689e-02
152,3.926491e-02,1.888443e-02
153,3.922890e-02,1.706586e-02
154,3.919328e-02,1.496158e-02
155,3.915763e-02,1.269188e-02
156,3.912166e-02,1.269114e-02
157,3.908511e-02,1.253322e-02
158,3.904795e-02,1.223459e-02
159,3.901036e-02,1.181357e-02
160,3.897260e-02,1.128982e-02
161,3.893490e-02,1.108922e-02
162,3.889763e-02,1.123236e-02
163,3.886109e-02,1.134062e-02
164,3.882543e-02,1.141299e-02
165,3.879085e-02,1.144905e-02
166,3.875751e-02,1.144904e-02
167,3.872548e-02,1.141409e-02
168,3.869472e-02,1.143109e-02
169,3.866525e-02,1.173019e-02
170,3.863694e-02,1.246350e-02
171,3.860981e-02,1.321134e-02
172,3.858373e-02,1.387812e-02
173,3.855836e-02,1.445611e-02
174,3.853360e-02,1.494120e-02
175,3.850935e-02,1.533122e-02
176,3.848554e-02,1.562614e-02
177,3.846204e-02,1.582809e-02
178,3.843884e-02,1.594120e-02
179,3.841604e-02,1.597132e-02
180,3.839366e-02,1.592578e-02
181,3.837181e-02,1.581304e-02
182,3.835051e-02,1.564241e-02
183,3.832986e-02,1.542377e-02
184,3.830993e-02,1.516725e-02
185,3.829068e-02,1.488301e-02
186,3.827217e-02,1.458112e-02
187,3.825436e-02,1.427098e-02
188,3.823722e-02,1.396146e-02
189,3.822084e-02,1.366083e-02
190,3.820511e-02,1.337635e-02
191,3.818997e-02,1.311426e-02
192,3.817543e-02,1.287980e-02
193,3.816144e-02,1.267712e-02
194,3.814795e-02,1.252784e-02
195,3.813497e-02,1.245437e-02
196,3.812241e-02,1.243915e-02
197,3.811027e-02,1.247099e-02
198,3.809850e-02,1.254243e-02
199,3.808711e-02,1.264796e-02
200,3.807605e-02,1.278300e-02
201,3.806526e-02,1.294338e-02
202,3.805477e-02,1.312509e-02
203,3.804452e-02,1.332418e-02
204,3.803458e-02,1.353666e-02
205,3.802488e-02,1.375865e-02
206,3.801549e-02,1.398633e-02
207,3.800640e-02,1.421605e-02
208,3.799761e-02,1.444437e-02
209,3.798915e-02,1.466808e-02
210,3.798100e-02,1.488427e-02
211,3.797310e-02,1.509042e-02
212,3.796548e-02,1.528414e-02
213,3.795811e-02,1.546355e-02
214,3.795107e-02,1.562709e-02
215,3.794433e-02,1.577374e-02
216,3.793792e-02,1.590275e-02
217,3.793181e-02,1.601372e-02
218,3.792588e-02,1.610668e-02
219,3.792018e-02,1.618191e-02
220,3.791471e-02,1.623989e-02
221,3.790980e-02,1.628208e-02
222,3.790505e-02,1.630869e-02
223,3.790049e-02,1.632146e-02
224,3.789613e-02,1.632184e-02
225,3.789203e-02,1.631125e-02
226,3.788810e-02,1.629116e-02
227,3.788440e-02,1.626318e-02
228,3.788094e-02,1.622895e-02
229,3.787771e-02,1.619011e-02
230,3.787461e-02,1.614826e-02
231,3.787171e-02,1.610494e-02
232,3.786902e-02,1.606151e-02
233,3.786655e-02,1.601919e-02
234,3.786421e-02,1.597904e-02
235,3.786197e-02,1.594192e-02
236,3.785989e-02,1.590850e-02
237,3.785798e-02,1.587928e-02
238,3.785621e-02,1.585457e-02
239,3.785459e-02,1.583449e-02
240,3.785317e-02,1.581900e-02
241,3.785188e-02,1.580795e-02
242,3.785070e-02,1.580105e-02
243,3.784965e-02,1.579788e-02
244,3.784876e-02,1.579795e-02
245,3.784802e-02,1.580069e-02
246,3.784746e-02,1.580546e-02
247,3.784703e-02,1.581161e-02
248,3.784665e-02,1.581845e-02
249,3.784635e-02,1.582535e-02
250,3.784612e-02,1.583157e-02
251,3.784597e-02,1.583637e-02
252,3.784597e-02,1.583922e-02
253,3.784603e-02,1.583959e-02
254,3.784621e-02,1.583727e-02
255,3.784647e-02,1.583178e-02
256,3.784686e-02,1.582264e-02
257,3.784730e-02,1.580942e-02
258,3.784780e-02,1.579183e-02
259,3.784842e-02,1.576968e-02
260,3.784914e-02,1.574289e-02
261,3.784999e-02,1.571148e-02
262,3.785089e-02,1.567553e-02
263,3.785181e-02,1.563511e-02
264,3.785279e-02,1.559047e-02
265,3.785385e-02,1.554188e-02
266,3.785497e-02,1.548961e-02
267,3.785612e-02,1.543397e-02
268,3.785735e-02,1.537524e-02
269,3.785863e-02,1.531376e-02
270,3.785998e-02,1.524984e-02
271,3.786157e-02,1.518409e-02
272,3.786322e-02,1.511628e-02
273,3.786496e-02,1.504691e-02
274,3.786675e-02,1.497631e-02
275,3.786858e-02,1.490468e-02
276,3.787043e-02,1.483215e-02
277,3.787236e-02,1.475886e-02
278,3.787427e-02,1.468499e-02
279,3.787632e-02,1.461081e-02
280,3.787837e-02,1.453630e-02
281,3.788047e-02,1.446164e-02
282,3.788259e-02,1.438700e-02
283,3.788470e-02,1.431244e-02
284,3.788686e-02,1.423797e-02
285,3.788910e-02,1.416361e-02
286,3.789137e-02,1.408935e-02
287,3.789357e-02,1.401520e-02
288,3.789581e-02,1.394115e-02
289,3.789806e-02,1.386718e-02
290,3.790036e-02,1.379327e-02
291,3.790265e-02,1.371941e-02
292,3.790485e-02,1.364556e-02
293,3.790701e-02,1.357169e-02
294,3.790918e-02,1.349778e-02
295,3.791136e-02,1.342381e-02
296,3.791355e-02,1.334974e-02
297,3.791575e-02,1.327558e-02
298,3.791792e-02,1.320133e-02
299,3.792010e-02,1.312698e-02
300,3.792224e-02,1.305256e-02
301,3.792440e-02,1.297810e-02
302,3.792653e-02,1.290365e-02
303,3.792866e-02,1.282925e-02
304,3.793081e-02,1.275500e-02
305,3.793298e-02,1.268103e-02
306,3.793513e-02,1.260725e-02
307,3.793723e-02,1.253385e-02
308,3.793930e-02,1.246092e-02
309,3.794129e-02,1.238852e-02
310,3.794329e-02,1.231672e-02
311,3.794528e-02,1.224558e-02
312,3.794724e-02,1.217521e-02
313,3.794919e-02,1.210571e-02
314,3.795127e-02,1.203748e-02
315,3.795334e-02,1.197010e-02
316,3.795535e-02,1.190392e-02
317,3.795729e-02,1.183906e-02
318,3.795912e-02,1.177551e-02
319,3.796090e-02,1.171325e-02
320,3.796265e-02,1.165231e-02
321,3.796436e-02,1.159271e-02
322,3.796599e-02,1.153452e-02
323,3.796761e-02,1.147781e-02
324,3.796918e-02,1.142264e-02
325,3.797066e-02,1.136908e-02
326,3.797210e-02,1.131718e-02
327,3.797354e-02,1.126709e-02
328,3.797497e-02,1.121868e-02
329,3.797637e-02,1.117202e-02
330,3.797765e-02,1.112715e-02
331,3.797887e-02,1.108403e-02
332,3.798000e-02,1.104264e-02
333,3.798111e-02,1.100293e-02
334,3.798217e-02,1.096488e-02
335,3.798314e-02,1.092848e-02
336,3.798407e-02,1.089374e-02
337,3.798497e-02,1.086064e-02
338,3.798578e-02,1.082921e-02
339,3.798651e-02,1.079942e-02
340,3.798716e-02,1.077127e-02
341,3.798774e-02,1.074477e-02
342,3.798819e-02,1.071988e-02
343,3.798856e-02,1.069662e-02
344,3.798883e-02,1.067495e-02
345,3.798904e-02,1.065488e-02
346,3.798925e-02,1.063646e-02
347,3.798955e-02,1.061980e-02
348,3.798987e-02,1.060458e-02
349,3.799015e-02,1.059089e-02
350,3.799031e-02,1.057876e-02
351,3.799036e-02,1.056808e-02
352,3.799030e-02,1.055913e-02
353,3.799015e-02,1.055396e-02
354,3.798996e-02,1.055252e-02
355,3.798972e-02,1.055411e-02
356,3.798937e-02,1.055788e-02
357,3.798896e-02,1.056314e-02
358,3.798848e-02,1.056934e-02
359,3.798789e-02,1.057607e-02
360,3.798724e-02,1.058307e-02
361,3.798655e-02,1.059018e-02
362,3.798574e-02,1.059799e-02
363,3.798483e-02,1.060721e-02
364,3.798389e-02,1.061786e-02
365,3.798286e-02,1.062970e-02
366,3.798176e-02,1.064255e-02
367,3.798061e-02,1.065616e-02
368,3.797939e-02,1.067032e-02
369,3.797810e-02,1.068489e-02
