iter,R_mom,R_div
1,2.341550e+00,4.987864e+00
2,3.375999e+00,6.402947e+00
3,3.713970e+00,7.937218e+00
4,3.704607e+00,8.811597e+00
5,3.623750e+00,9.313189e+00
6,3.437163e+00,8.808781e+00
7,3.113561e+00,7.432194e+00
8,2.653048e+00,6.634102e+00
9,2.132404e+00,5.909600e+00
10,1.638372e+00,4.900659e+00
11,1.243173e+00,4.881653e+00
12,1.001585e+00,5.300874e+00
13,9.114949e-01,6.548326e+00
14,9.067228e-01,7.067315e+00
15,9.141007e-01,6.750358e+00
16,8.972356e-01,5.826549e+00
17,8.474372e-01,4.544238e+00
18,7.696647e-01,3.114239e+00
19,6.746937e-01,2.221958e+00
20,5.762297e-01,2.164660e+00
21,4.862768e-01,1.978006e+00
22,4.151601e-01,1.700288e+00
23,3.701162e-01,2.237015e+00
24,3.500149e-01,2.535833e+00
25,3.461069e-01,2.551864e+00
26,3.480822e-01,2.340677e+00
27,3.482906e-01,1.974037e+00
28,3.431398e-01,1.522486e+00
29,3.324478e-01,1.046250e+00
30,3.179340e-01,7.277024e-01
31,3.020810e-01,6.851567e-01
32,2.872863e-01,6.481538e-01
33,2.752524e-01,5.879559e-01
34,2.665812e-01,5.399562e-01
35,2.609279e-01,6.152402e-01
36,2.573761e-01,6.192859e-01
37,2.548587e-01,5.672013e-01
38,2.524556e-01,4.757086e-01
39,2.498075e-01,3.613506e-01
40,2.467875e-01,3.079534e-01
41,2.434977e-01,3.156608e-01
42,2.401526e-01,3.124082e-01
43,2.369617e-01,3.001372e-01
44,2.340986e-01,2.810990e-01
45,2.316139e-01,2.576492e-01
46,2.294452e-01,2.320454e-01
47,2.275415e-01,2.062667e-01
48,2.258146e-01,1.879260e-01
49,2.241957e-01,1.657469e-01
50,2.226401e-01,1.417122e-01
51,2.211370e-01,1.326409e-01
52,2.196733e-01,1.269158e-01
53,2.182435e-01,1.212565e-01
54,2.168757e-01,1.159210e-01
55,2.155841e-01,1.110678e-01
56,2.143754e-01,1.067421e-01
57,2.132401e-01,1.029280e-01
58,2.121372e-01,1.014109e-01
59,2.110976e-01,1.024599e-01
60,2.101097e-01,1.033047e-01
61,2.091449e-01,1.036888e-01
62,2.082091e-01,1.034498e-01
63,2.073223e-01,1.025091e-01
64,2.064721e-01,1.008867e-01
65,2.056498e-01,9.865923e-02
66,2.048596e-01,9.594875e-02
67,2.041099e-01,9.289887e-02
68,2.033998e-01,9.234266e-02
69,2.027220e-01,9.164141e-02
70,2.020569e-01,9.055580e-02
71,2.014023e-01,8.897269e-02
72,2.007692e-01,8.693527e-02
73,2.001688e-01,8.632756e-02
74,1.995879e-01,8.624898e-02
75,1.990336e-01,8.590295e-02
76,1.985074e-01,8.529807e-02
77,1.980122e-01,8.447445e-02
78,1.975427e-01,8.347121e-02
79,1.970765e-01,8.230469e-02
80,1.966140e-01,8.098555e-02
81,1.961714e-01,7.964120e-02
82,1.957532e-01,7.830591e-02
83,1.953565e-01,7.824486e-02
84,1.949720e-01,7.806350e-02
85,1.946015e-01,7.771180e-02
86,1.942374e-01,7.719551e-02
87,1.938852e-01,7.664793e-02
88,1.935506e-01,7.611386e-02
89,1.932254e-01,7.558973e-02
90,1.929119e-01,7.503893e-02
91,1.926103e-01,7.441718e-02
92,1.923239e-01,7.369296e-02
93,1.920484e-01,7.285152e-02
94,1.917729e-01,7.189273e-02
95,1.915035e-01,7.079742e-02
96,1.912513e-01,7.051181e-02
97,1.910142e-01,7.042478e-02
98,1.907841e-01,7.029005e-02
99,1.905631e-01,7.007444e-02
100,1.903534e-01,6.976293e-02
101,1.901459e-01,6.935232e-02
102,1.899494e-01,6.883358e-02
103,1.897639e-01,6.820751e-02
104,1.895866e-01,6.747705e-02
105,1.894148e-01,6.664399e-02
106,1.892591e-01,6.574328e-02
107,1.891107e-01,6.555528e-02
108,1.889635e-01,6.569164e-02
109,1.888218e-01,6.575934e-02
110,1.886904e-01,6.574003e-02
111,1.885630e-01,6.564524e-02
112,1.884408e-01,6.549468e-02
113,1.883305e-01,6.528177e-02
114,1.882283e-01,6.501235e-02
115,1.881296e-01,6.468849e-02
116,1.880377e-01,6.431077e-02
117,1.879464e-01,6.388316e-02
118,1.878644e-01,6.341866e-02
119,1.877917e-01,6.292037e-02
120,1.877227e-01,6.237978e-02
121,1.876601e-01,6.178257e-02
122,1.876030e-01,6.112850e-02
123,1.875504e-01,6.041776e-02
124,1.875019e-01,5.965097e-02
125,1.874599e-01,5.883563e-02
126,1.874213e-01,5.797989e-02
127,1.873855e-01,5.708582e-02
128,1.873558e-01,5.616771e-02
129,1.873372e-01,5.569277e-02
130,1.873239e-01,5.521521e-02
131,1.873145e-01,5.470190e-02
132,1.873120e-01,5.528278e-02
133,1.873142e-01,5.579110e-02
134,1.873202e-01,5.623053e-02
135,1.873292e-01,5.659919e-02
136,1.873387e-01,5.689719e-02
137,1.873517e-01,5.712516e-02
138,1.873683e-01,5.728762e-02
139,1.873921e-01,5.738192e-02
140,1.874223e-01,5.740983e-02
141,1.874556e-01,5.737682e-02
142,1.874930e-01,5.728535e-02
143,1.875331e-01,5.713896e-02
144,1.875743e-01,5.693941e-02
145,1.876195e-01,5.668630e-02
146,1.876696e-01,5.638148e-02
147,1.877253e-01,5.603020e-02
148,1.877851e-01,5.563735e-02
149,1.878513e-01,5.599267e-02
150,1.879219e-01,5.655976e-02
151,1.879949e-01,5.706067e-02
152,1.880661e-01,5.749641e-02
153,1.881384e-01,5.786489e-02
154,1.882147e-01,5.816363e-02
155,1.882944e-01,5.839895e-02
156,1.883778e-01,5.857629e-02
157,1.884661e-01,5.869976e-02
158,1.885619e-01,5.876718e-02
159,1.886636e-01,5.877731e-02
160,1.887677e-01,5.873322e-02
161,1.888684e-01,5.863480e-02
162,1.889677e-01,5.847855e-02
163,1.890681e-01,5.826766e-02
164,1.891717e-01,5.800792e-02
165,1.892804e-01,5.770341e-02
166,1.893937e-01,5.735702e-02
167,1.895133e-01,5.778276e-02
168,1.896333e-01,5.828605e-02
169,1.897541e-01,5.872573e-02
170,1.898774e-01,5.909902e-02
171,1.900033e-01,5.940610e-02
172,1.901306e-01,5.965032e-02
173,1.902590e-01,5.983640e-02
174,1.903889e-01,5.996761e-02
175,1.905218e-01,6.004159e-02
176,1.906552e-01,6.005717e-02
177,1.907921e-01,6.001554e-02
178,1.909314e-01,5.991883e-02
179,1.910710e-01,5.977051e-02
180,1.912120e-01,5.957301e-02
181,1.913543e-01,5.932893e-02
182,1.915001e-01,5.903640e-02
183,1.916494e-01,5.869389e-02
184,1.917990e-01,5.830407e-02
185,1.919486e-01,5.787035e-02
186,1.920972e-01,5.739655e-02
187,1.922460e-01,5.695856e-02
188,1.923947e-01,5.727694e-02
189,1.925507e-01,5.754100e-02
190,1.927068e-01,5.774908e-02
191,1.928633e-01,5.790344e-02
192,1.930186e-01,5.800764e-02
193,1.931749e-01,5.806304e-02
194,1.933307e-01,5.807171e-02
195,1.934898e-01,5.803280e-02
196,1.936527e-01,5.794419e-02
197,1.938144e-01,5.780643e-02
198,1.939753e-01,5.762346e-02
199,1.941351e-01,5.739865e-02
200,1.942939e-01,5.713355e-02
201,1.944547e-01,5.682996e-02
202,1.946197e-01,5.648631e-02
203,1.947845e-01,5.661005e-02
204,1.949482e-01,5.720153e-02
205,1.951107e-01,5.774073e-02
206,1.952729e-01,5.822706e-02
207,1.954351e-01,5.866219e-02
208,1.956008e-01,5.904230e-02
209,1.957678e-01,5.936485e-02
210,1.959329e-01,5.963380e-02
211,1.960967e-01,5.985178e-02
212,1.962588e-01,6.002034e-02
213,1.964206e-01,6.014098e-02
214,1.965845e-01,6.021163e-02
215,1.967504e-01,6.022995e-02
216,1.969152e-01,6.019860e-02
217,1.970785e-01,6.012184e-02
218,1.972399e-01,6.000132e-02
219,1.974006e-01,5.983853e-02
220,1.975623e-01,5.963258e-02
221,1.977264e-01,5.938127e-02
222,1.978884e-01,5.908755e-02
223,1.980495e-01,5.875483e-02
224,1.982085e-01,5.838593e-02
225,1.983661e-01,5.798309e-02
226,1.985244e-01,5.754632e-02
227,1.986842e-01,5.707319e-02
228,1.988425e-01,5.656560e-02
229,1.989993e-01,5.602820e-02
230,1.991533e-01,5.546380e-02
231,1.993054e-01,5.487365e-02
232,1.994591e-01,5.425840e-02
233,1.996146e-01,5.361718e-02
234,1.997674e-01,5.295202e-02
235,1.999184e-01,5.226523e-02
236,2.000675e-01,5.155977e-02
237,2.002142e-01,5.083821e-02
