iter,R_mom,R_div
1,7.442606e-01,4.995117e+00
2,5.912278e-01,5.197713e+00
3,4.821572e-01,5.312106e+00
4,4.740728e-01,5.154136e+00
5,4.919844e-01,4.879486e+00
6,5.073157e-01,4.541633e+00
7,5.176637e-01,4.155299e+00
8,5.208976e-01,3.804683e+00
9,5.161990e-01,3.449003e+00
10,5.032444e-01,3.065087e+00
11,4.827095e-01,2.805795e+00
12,4.561172e-01,2.495899e+00
13,4.254528e-01,2.142317e+00
14,3.928022e-01,1.751693e+00
15,3.590323e-01,2.028402e+00
16,3.253089e-01,2.247071e+00
17,2.931627e-01,2.381303e+00
18,2.639989e-01,2.512228e+00
19,2.387757e-01,2.625132e+00
20,2.175015e-01,2.779948e+00
21,2.006690e-01,2.831785e+00
22,1.886663e-01,2.803414e+00
23,1.816920e-01,2.972171e+00
24,1.790970e-01,3.077508e+00
25,1.794125e-01,3.124776e+00
26,1.811725e-01,3.200463e+00
27,1.832063e-01,3.301985e+00
28,1.849165e-01,3.310663e+00
29,1.856945e-01,3.230419e+00
30,1.850875e-01,3.070411e+00
31,1.829388e-01,2.841781e+00
32,1.791152e-01,2.557070e+00
33,1.739558e-01,2.232783e+00
34,1.677148e-01,1.885903e+00
35,1.606646e-01,1.605098e+00
36,1.531829e-01,1.324137e+00
37,1.455068e-01,1.037701e+00
38,1.377832e-01,7.514682e-01
39,1.302797e-01,7.679703e-01
40,1.231846e-01,8.117445e-01
41,1.166846e-01,8.353424e-01
42,1.109785e-01,8.411254e-01
43,1.061180e-01,9.034583e-01
44,1.022151e-01,9.831511e-01
45,9.930325e-02,1.032583e+00
46,9.735749e-02,1.055554e+00
47,9.617694e-02,1.071366e+00
48,9.558744e-02,1.121730e+00
49,9.541091e-02,1.144851e+00
50,9.548580e-02,1.144469e+00
51,9.563540e-02,1.123940e+00
52,9.570185e-02,1.086242e+00
53,9.561265e-02,1.034124e+00
54,9.533098e-02,9.699669e-01
55,9.482869e-02,8.958852e-01
56,9.412569e-02,8.138265e-01
57,9.323659e-02,7.256546e-01
58,9.218561e-02,6.331391e-01
59,9.103980e-02,5.379018e-01
60,8.984029e-02,4.415040e-01
61,8.863064e-02,3.454431e-01
62,8.744021e-02,2.654738e-01
63,8.630998e-02,2.864312e-01
