iter,R_mom,R_div
1,1.038352e+00,4.997554e+00
2,7.724405e-01,6.303257e+00
3,6.606370e-01,6.281856e+00
4,6.641031e-01,5.672828e+00
5,6.712100e-01,4.959696e+00
6,6.524141e-01,4.179734e+00
7,6.085328e-01,3.321670e+00
8,5.455688e-01,2.380690e+00
9,4.716697e-01,2.006415e+00
10,3.955345e-01,2.067954e+00
11,3.261373e-01,2.015211e+00
12,2.729136e-01,2.332464e+00
13,2.414336e-01,2.630225e+00
14,2.307717e-01,3.122082e+00
15,2.332282e-01,3.427980e+00
16,2.382306e-01,3.467438e+00
17,2.397769e-01,3.280713e+00
18,2.349086e-01,3.045290e+00
19,2.244961e-01,2.776395e+00
20,2.094743e-01,2.383939e+00
21,1.912745e-01,1.901864e+00
22,1.716210e-01,1.442261e+00
23,1.529569e-01,1.041092e+00
24,1.366744e-01,8.882876e-01
25,1.239680e-01,8.847457e-01
26,1.153495e-01,1.009923e+00
27,1.104049e-01,1.211546e+00
28,1.083432e-01,1.334987e+00
29,1.080347e-01,1.382228e+00
30,1.082212e-01,1.357242e+00
31,1.079980e-01,1.266572e+00
32,1.068892e-01,1.119782e+00
33,1.047253e-01,9.289048e-01
34,1.018110e-01,7.072908e-01
35,9.855752e-02,5.318219e-01
36,9.534599e-02,4.226439e-01
37,9.247655e-02,3.588174e-01
38,9.016079e-02,4.013568e-01
39,8.840978e-02,4.357271e-01
40,8.721573e-02,4.579987e-01
41,8.644873e-02,5.023106e-01
42,8.597617e-02,5.318236e-01
43,8.565212e-02,5.329858e-01
44,8.535619e-02,5.092450e-01
45,8.502896e-02,4.651862e-01
46,8.463056e-02,4.060318e-01
47,8.417274e-02,3.371787e-01
48,8.366811e-02,2.642167e-01
49,8.315011e-02,1.923253e-01
50,8.265837e-02,1.546478e-01
51,8.221707e-02,1.870276e-01
52,8.183657e-02,2.146488e-01
53,8.151485e-02,2.340911e-01
54,8.125220e-02,2.442457e-01
55,8.103031e-02,2.464769e-01
56,8.082740e-02,2.420678e-01
57,8.063160e-02,2.325686e-01
58,8.043626e-02,2.192623e-01
59,8.023932e-02,2.032987e-01
60,8.003342e-02,1.857192e-01
61,7.981815e-02,1.674473e-01
62,7.960239e-02,1.492802e-01
