iter,R_mom,R_div
1,7.987336e-01,4.987864e+00
2,7.766116e-01,5.212961e+00
3,6.501064e-01,5.610333e+00
4,6.036077e-01,5.479494e+00
5,6.083595e-01,4.979507e+00
6,5.977849e-01,4.325934e+00
7,5.786505e-01,3.632050e+00
8,5.400146e-01,2.868045e+00
9,4.862055e-01,2.045688e+00
10,4.224057e-01,1.900014e+00
11,3.553970e-01,2.040838e+00
12,2.930347e-01,2.108340e+00
13,2.431774e-01,2.227854e+00
14,2.120628e-01,2.468436e+00
15,2.005138e-01,2.571853e+00
16,2.037207e-01,2.901278e+00
17,2.121328e-01,3.040536e+00
18,2.185035e-01,3.002565e+00
19,2.195377e-01,2.825248e+00
20,2.139853e-01,2.628550e+00
21,2.024975e-01,2.360161e+00
22,1.864939e-01,2.107604e+00
23,1.679814e-01,1.803102e+00
24,1.489968e-01,1.451755e+00
25,1.306825e-01,1.084651e+00
26,1.146447e-01,8.363593e-01
27,1.020713e-01,8.042033e-01
28,9.353785e-02,7.883972e-01
29,8.889120e-02,8.361170e-01
30,8.719456e-02,8.628744e-01
31,8.723308e-02,9.248444e-01
32,8.785081e-02,9.444909e-01
33,8.810502e-02,9.080706e-01
34,8.752472e-02,8.648828e-01
35,8.597204e-02,7.907189e-01
36,8.355496e-02,6.874196e-01
37,8.055145e-02,5.631677e-01
38,7.726751e-02,4.267738e-01
39,7.403528e-02,3.224203e-01
40,7.113286e-02,3.214108e-01
41,6.875680e-02,3.299067e-01
42,6.702177e-02,3.489998e-01
43,6.584550e-02,3.724722e-01
44,6.512001e-02,3.933356e-01
45,6.469789e-02,4.094823e-01
46,6.442496e-02,4.281885e-01
47,6.417755e-02,4.275802e-01
48,6.386711e-02,4.101654e-01
49,6.345069e-02,3.790597e-01
50,6.292643e-02,3.377015e-01
51,6.231558e-02,2.895961e-01
52,6.166910e-02,2.381052e-01
53,6.101765e-02,1.862866e-01
54,6.039685e-02,1.367641e-01
55,5.983291e-02,1.163793e-01
56,5.934324e-02,1.301087e-01
57,5.892628e-02,1.401746e-01
58,5.857385e-02,1.515254e-01
59,5.827098e-02,1.628279e-01
60,5.800204e-02,1.703871e-01
61,5.775160e-02,1.742655e-01
62,5.750613e-02,1.746946e-01
63,5.725657e-02,1.720396e-01
64,5.699965e-02,1.667592e-01
65,5.673716e-02,1.593706e-01
66,5.647188e-02,1.504177e-01
67,5.621034e-02,1.404363e-01
68,5.595385e-02,1.299350e-01
69,5.570718e-02,1.193700e-01
70,5.547211e-02,1.091228e-01
71,5.525106e-02,9.949998e-02
72,5.504395e-02,9.073572e-02
73,5.484868e-02,8.299270e-02
74,5.466285e-02,8.440143e-02
75,5.448537e-02,8.448855e-02
76,5.431676e-02,8.272365e-02
77,5.415349e-02,7.939719e-02
78,5.399421e-02,7.482824e-02
79,5.383721e-02,6.935378e-02
80,5.368287e-02,6.330765e-02
81,5.353108e-02,5.842337e-02
82,5.338279e-02,5.853527e-02
83,5.323861e-02,5.887645e-02
84,5.309709e-02,5.931374e-02
85,5.295899e-02,5.973100e-02
86,5.282440e-02,6.003257e-02
87,5.269289e-02,6.014393e-02
88,5.256519e-02,6.001264e-02
89,5.244027e-02,5.960749e-02
90,5.231721e-02,5.891630e-02
91,5.219693e-02,5.794393e-02
92,5.207885e-02,5.671000e-02
93,5.196309e-02,5.524608e-02
94,5.184989e-02,5.359381e-02
95,5.173813e-02,5.179704e-02
96,5.162863e-02,4.990033e-02
97,5.152162e-02,4.794827e-02
98,5.141657e-02,4.598354e-02
99,5.131410e-02,4.404536e-02
100,5.121354e-02,4.216814e-02
101,5.111467e-02,4.038016e-02
102,5.101829e-02,3.870314e-02
103,5.092391e-02,3.715229e-02
104,5.083130e-02,3.573622e-02
105,5.074079e-02,3.445733e-02
106,5.065128e-02,3.331272e-02
107,5.056382e-02,3.229469e-02
108,5.047819e-02,3.139222e-02
109,5.039377e-02,3.059164e-02
110,5.031104e-02,2.987758e-02
111,5.022934e-02,2.923401e-02
112,5.014901e-02,2.864489e-02
113,5.007050e-02,2.809505e-02
114,4.999286e-02,2.757076e-02
115,4.991654e-02,2.705988e-02
116,4.984140e-02,2.655231e-02
117,4.976728e-02,2.604018e-02
118,4.969469e-02,2.551782e-02
119,4.962301e-02,2.498171e-02
120,4.955223e-02,2.443027e-02
121,4.948281e-02,2.386352e-02
122,4.941415e-02,2.328308e-02
123,4.934674e-02,2.269160e-02
124,4.928040e-02,2.209262e-02
125,4.921474e-02,2.149021e-02
126,4.915031e-02,2.088859e-02
127,4.908661e-02,2.029204e-02
128,4.902420e-02,1.970450e-02
129,4.896344e-02,1.912885e-02
130,4.890328e-02,1.856701e-02
131,4.884415e-02,1.802305e-02
132,4.878581e-02,1.749952e-02
133,4.872830e-02,1.699786e-02
134,4.867172e-02,1.651850e-02
135,4.861568e-02,1.606124e-02
136,4.856051e-02,1.574180e-02
137,4.850610e-02,1.567302e-02
138,4.845240e-02,1.560490e-02
139,4.839949e-02,1.553666e-02
140,4.834711e-02,1.546763e-02
141,4.829546e-02,1.539722e-02
142,4.824453e-02,1.532497e-02
143,4.819422e-02,1.525055e-02
144,4.814457e-02,1.517372e-02
145,4.809545e-02,1.509435e-02
146,4.804695e-02,1.501243e-02
147,4.799914e-02,1.492800e-02
148,4.795187e-02,1.484120e-02
149,4.790518e-02,1.475218e-02
150,4.785899e-02,1.466115e-02
151,4.781337e-02,1.456828e-02
152,4.776837e-02,1.447377e-02
153,4.772384e-02,1.437781e-02
154,4.767983e-02,1.428058e-02
155,4.763630e-02,1.418226e-02
156,4.759330e-02,1.408299e-02
157,4.755085e-02,1.398290e-02
158,4.750883e-02,1.388207e-02
159,4.746727e-02,1.378058e-02
160,4.742616e-02,1.367842e-02
161,4.738553e-02,1.357558e-02
162,4.734542e-02,1.347199e-02
163,4.730565e-02,1.336749e-02
164,4.726631e-02,1.326195e-02
165,4.722739e-02,1.315527e-02
166,4.718891e-02,1.304749e-02
167,4.715090e-02,1.293868e-02
168,4.711320e-02,1.282893e-02
169,4.707590e-02,1.271836e-02
170,4.703899e-02,1.260703e-02
171,4.700245e-02,1.249501e-02
172,4.696632e-02,1.238229e-02
173,4.693047e-02,1.226883e-02
174,4.689498e-02,1.215462e-02
175,4.685983e-02,1.203972e-02
176,4.682502e-02,1.192424e-02
177,4.679054e-02,1.180832e-02
178,4.675632e-02,1.169182e-02
179,4.672246e-02,1.157434e-02
180,4.668890e-02,1.145549e-02
181,4.665564e-02,1.133505e-02
182,4.662270e-02,1.121303e-02
183,4.658998e-02,1.108933e-02
184,4.655762e-02,1.096415e-02
185,4.652549e-02,1.083818e-02
186,4.649364e-02,1.071206e-02
187,4.646206e-02,1.058633e-02
188,4.643063e-02,1.046135e-02
189,4.639951e-02,1.033734e-02
190,4.636861e-02,1.021448e-02
191,4.633795e-02,1.009290e-02
192,4.630752e-02,9.972597e-03
193,4.627724e-02,9.853435e-03
194,4.624727e-02,9.735149e-03
195,4.621746e-02,9.617537e-03
196,4.618786e-02,9.500589e-03
197,4.615850e-02,9.383413e-03
198,4.612927e-02,9.267258e-03
199,4.610028e-02,9.152542e-03
200,4.607147e-02,9.039176e-03
201,4.604284e-02,8.926984e-03
202,4.601443e-02,8.815865e-03
203,4.598613e-02,8.704899e-03
204,4.595801e-02,8.593382e-03
205,4.593003e-02,8.481698e-03
206,4.590216e-02,8.370557e-03
207,4.587445e-02,8.260688e-03
208,4.584687e-02,8.153186e-03
209,4.581945e-02,8.050871e-03
210,4.579214e-02,7.979573e-03
211,4.576493e-02,7.907546e-03
212,4.573786e-02,7.834767e-03
213,4.571091e-02,7.761156e-03
214,4.568411e-02,7.686880e-03
215,4.565739e-02,7.612369e-03
216,4.563080e-02,7.538069e-03
217,4.560427e-02,7.463943e-03
218,4.557784e-02,7.389613e-03
219,4.555149e-02,7.314809e-03
220,4.552510e-02,7.239098e-03
221,4.549880e-02,7.162706e-03
222,4.547259e-02,7.085881e-03
223,4.544644e-02,7.008771e-03
224,4.542039e-02,6.931502e-03
225,4.539436e-02,6.854179e-03
226,4.536842e-02,6.776517e-03
227,4.534254e-02,6.698473e-03
228,4.531661e-02,6.620063e-03
229,4.529071e-02,6.541764e-03
230,4.526492e-02,6.463668e-03
231,4.523923e-02,6.385649e-03
232,4.521359e-02,6.307445e-03
233,4.518794e-02,6.228824e-03
234,4.516231e-02,6.149932e-03
235,4.513668e-02,6.070972e-03
236,4.511101e-02,5.991942e-03
237,4.508554e-02,5.912729e-03
238,4.506005e-02,5.833246e-03
239,4.503456e-02,5.753566e-03
240,4.500900e-02,5.673683e-03
241,4.498339e-02,5.593478e-03
242,4.495775e-02,5.513140e-03
243,4.493206e-02,5.432924e-03
244,4.490636e-02,5.353006e-03
245,4.488054e-02,5.273277e-03
246,4.485471e-02,5.193738e-03
247,4.482885e-02,5.114574e-03
248,4.480294e-02,5.035754e-03
249,4.477698e-02,4.957194e-03
250,4.475093e-02,4.878815e-03
251,4.472477e-02,4.800446e-03
252,4.469851e-02,4.721971e-03
253,4.467215e-02,4.643471e-03
254,4.464567e-02,4.564943e-03
255,4.461913e-02,4.486528e-03
256,4.459251e-02,4.408294e-03
257,4.456578e-02,4.330328e-03
258,4.453894e-02,4.252716e-03
259,4.451198e-02,4.175594e-03
260,4.448496e-02,4.098930e-03
261,4.445781e-02,4.022648e-03
262,4.443057e-02,3.946579e-03
263,4.440319e-02,3.870681e-03
264,4.437565e-02,3.794979e-03
265,4.434802e-02,3.719402e-03
266,4.432020e-02,3.643878e-03
267,4.429234e-02,3.568418e-03
268,4.426435e-02,3.493178e-03
269,4.423622e-02,3.418418e-03
270,4.420797e-02,3.344289e-03
271,4.417957e-02,3.270813e-03
272,4.415107e-02,3.198080e-03
273,4.412240e-02,3.125986e-03
274,4.409362e-02,3.054308e-03
275,4.406472e-02,2.982917e-03
276,4.403574e-02,2.911893e-03
277,4.400662e-02,2.841297e-03
278,4.397736e-02,2.810321e-03
279,4.394803e-02,2.813198e-03
280,4.391858e-02,2.816362e-03
281,4.388901e-02,2.819814e-03
282,4.385933e-02,2.823553e-03
283,4.382953e-02,2.827574e-03
284,4.379961e-02,2.831895e-03
285,4.376961e-02,2.836504e-03
286,4.373951e-02,2.841380e-03
287,4.370930e-02,2.846509e-03
288,4.367903e-02,2.851891e-03
289,4.364866e-02,2.857538e-03
290,4.361818e-02,2.863453e-03
291,4.358769e-02,2.869622e-03
292,4.355715e-02,2.876024e-03
293,4.352654e-02,2.882649e-03
294,4.349590e-02,2.889499e-03
295,4.346521e-02,2.896567e-03
296,4.343443e-02,2.903837e-03
297,4.340365e-02,2.911303e-03
298,4.337279e-02,2.918971e-03
299,4.334194e-02,2.926835e-03
300,4.331112e-02,2.934876e-03
301,4.328030e-02,2.943074e-03
302,4.324943e-02,2.951415e-03
303,4.321858e-02,2.959886e-03
304,4.318773e-02,2.968476e-03
305,4.315686e-02,3.004287e-03
306,4.312605e-02,3.059240e-03
307,4.309532e-02,3.113779e-03
308,4.306465e-02,3.167924e-03
309,4.303398e-02,3.221686e-03
310,4.300340e-02,3.275018e-03
311,4.297287e-02,3.327934e-03
