iter,R_mom,R_div
1,6.607269e-01,4.987864e+00
2,7.298876e-01,4.148396e+00
3,5.735285e-01,3.503489e+00
4,3.462421e-01,2.392335e+00
5,2.084960e-01,1.952876e+00
6,1.787208e-01,1.691073e+00
7,1.654847e-01,1.608189e+00
8,1.414482e-01,1.352932e+00
9,1.143902e-01,1.076689e+00
10,9.275679e-02,8.243356e-01
11,7.877661e-02,7.070861e-01
12,7.028287e-02,5.505125e-01
13,6.471822e-02,4.308526e-01
14,6.055909e-02,3.706570e-01
15,5.720593e-02,3.207021e-01
16,5.436459e-02,3.133031e-01
17,5.186217e-02,2.979976e-01
18,4.965117e-02,2.693044e-01
19,4.769615e-02,2.458355e-01
20,4.596401e-02,2.345996e-01
21,4.441634e-02,2.351237e-01
22,4.301690e-02,2.345956e-01
23,4.174670e-02,2.315068e-01
24,4.058659e-02,2.270935e-01
25,3.952403e-02,2.219886e-01
26,3.856640e-02,2.163677e-01
27,3.768237e-02,2.102347e-01
28,3.686328e-02,2.035549e-01
29,3.610185e-02,1.963273e-01
30,3.539204e-02,1.886165e-01
31,3.472882e-02,1.805402e-01
32,3.410785e-02,1.721865e-01
33,3.352526e-02,1.633541e-01
34,3.297783e-02,1.544523e-01
35,3.246252e-02,1.457305e-01
36,3.197691e-02,1.373199e-01
37,3.151811e-02,1.292791e-01
38,3.108391e-02,1.238445e-01
39,3.067302e-02,1.196582e-01
40,3.028296e-02,1.153583e-01
41,2.991524e-02,1.110030e-01
42,2.956911e-02,1.066340e-01
43,2.923907e-02,1.022895e-01
44,2.892433e-02,9.800847e-02
45,2.862360e-02,9.382493e-02
46,2.833608e-02,8.976241e-02
47,2.806058e-02,8.583720e-02
48,2.779615e-02,8.205859e-02
49,2.754205e-02,7.843059e-02
50,2.729766e-02,7.495497e-02
51,2.706233e-02,7.163230e-02
52,2.683544e-02,6.846203e-02
53,2.661658e-02,6.544259e-02
54,2.640521e-02,6.257128e-02
55,2.620086e-02,5.984443e-02
56,2.600311e-02,5.725751e-02
57,2.581158e-02,5.480523e-02
58,2.562599e-02,5.248176e-02
59,2.544609e-02,5.028102e-02
60,2.527140e-02,4.819686e-02
61,2.510165e-02,4.622318e-02
62,2.493657e-02,4.435406e-02
63,2.477590e-02,4.258377e-02
64,2.461944e-02,4.090678e-02
65,2.446696e-02,3.942108e-02
66,2.431830e-02,3.839249e-02
67,2.417545e-02,3.739950e-02
68,2.403606e-02,3.643812e-02
69,2.389986e-02,3.551038e-02
70,2.376682e-02,3.461696e-02
71,2.363679e-02,3.375733e-02
72,2.350949e-02,3.293128e-02
73,2.338478e-02,3.213695e-02
74,2.326253e-02,3.137212e-02
75,2.314267e-02,3.063483e-02
76,2.302520e-02,2.992380e-02
77,2.290991e-02,2.923812e-02
78,2.279666e-02,2.857656e-02
79,2.268536e-02,2.793796e-02
80,2.257594e-02,2.732132e-02
81,2.246832e-02,2.672578e-02
82,2.236243e-02,2.615057e-02
83,2.225816e-02,2.559502e-02
84,2.215545e-02,2.505846e-02
85,2.205427e-02,2.454014e-02
86,2.195460e-02,2.403939e-02
87,2.185642e-02,2.355578e-02
88,2.175958e-02,2.308896e-02
89,2.166403e-02,2.263811e-02
90,2.156978e-02,2.220234e-02
91,2.147680e-02,2.178086e-02
92,2.138499e-02,2.137313e-02
93,2.129427e-02,2.097871e-02
94,2.120464e-02,2.059708e-02
95,2.111605e-02,2.022770e-02
96,2.102842e-02,1.987011e-02
97,2.094178e-02,1.952387e-02
98,2.085611e-02,1.918856e-02
99,2.077135e-02,1.886376e-02
100,2.068752e-02,1.854903e-02
101,2.060462e-02,1.824397e-02
102,2.052258e-02,1.794849e-02
103,2.044138e-02,1.766222e-02
104,2.036096e-02,1.738464e-02
105,2.028132e-02,1.711530e-02
106,2.020246e-02,1.685386e-02
107,2.012437e-02,1.660005e-02
108,2.004700e-02,1.635370e-02
109,1.997046e-02,1.611440e-02
110,1.989515e-02,1.588101e-02
111,1.982048e-02,1.565270e-02
112,1.974644e-02,1.543056e-02
113,1.967303e-02,1.521499e-02
114,1.960025e-02,1.500586e-02
115,1.952813e-02,1.480286e-02
116,1.945662e-02,1.460596e-02
117,1.938571e-02,1.441484e-02
118,1.931540e-02,1.422904e-02
119,1.924569e-02,1.404814e-02
120,1.917650e-02,1.387198e-02
121,1.910785e-02,1.370044e-02
122,1.903973e-02,1.353327e-02
123,1.897213e-02,1.337028e-02
124,1.890505e-02,1.321127e-02
125,1.883848e-02,1.305605e-02
126,1.877238e-02,1.290449e-02
127,1.870679e-02,1.275645e-02
128,1.864165e-02,1.261184e-02
129,1.857702e-02,1.247055e-02
130,1.851285e-02,1.233271e-02
131,1.844916e-02,1.219823e-02
132,1.838589e-02,1.206690e-02
133,1.832306e-02,1.193852e-02
134,1.826070e-02,1.181296e-02
135,1.819878e-02,1.169008e-02
136,1.813730e-02,1.156977e-02
137,1.807624e-02,1.145197e-02
138,1.801561e-02,1.133664e-02
139,1.795540e-02,1.122372e-02
140,1.789565e-02,1.111315e-02
141,1.783629e-02,1.100491e-02
142,1.777733e-02,1.089895e-02
143,1.771874e-02,1.079515e-02
144,1.766056e-02,1.069341e-02
145,1.760277e-02,1.059367e-02
146,1.754533e-02,1.049583e-02
147,1.748829e-02,1.039983e-02
148,1.743161e-02,1.030559e-02
149,1.737532e-02,1.021308e-02
150,1.731939e-02,1.012222e-02
151,1.726384e-02,1.003298e-02
152,1.720867e-02,9.945295e-03
153,1.715387e-02,9.859136e-03
154,1.709944e-02,9.774500e-03
155,1.704538e-02,9.691334e-03
156,1.699170e-02,9.609650e-03
157,1.693838e-02,9.529423e-03
158,1.688542e-02,9.450577e-03
159,1.683280e-02,9.373128e-03
160,1.678049e-02,9.297029e-03
161,1.672852e-02,9.222196e-03
162,1.667685e-02,9.148536e-03
163,1.662551e-02,9.075982e-03
164,1.657452e-02,9.004487e-03
165,1.652385e-02,8.934025e-03
166,1.647355e-02,8.864584e-03
167,1.642357e-02,8.796215e-03
168,1.637393e-02,8.728887e-03
169,1.632461e-02,8.662564e-03
170,1.627569e-02,8.597159e-03
171,1.622729e-02,8.532226e-03
172,1.617919e-02,8.467483e-03
173,1.613140e-02,8.403522e-03
174,1.608391e-02,8.340606e-03
175,1.603671e-02,8.278787e-03
176,1.598982e-02,8.218010e-03
177,1.594322e-02,8.158212e-03
178,1.589690e-02,8.099309e-03
179,1.585086e-02,8.041208e-03
180,1.580510e-02,7.983842e-03
181,1.575965e-02,7.927139e-03
182,1.571448e-02,7.871027e-03
183,1.566960e-02,7.815492e-03
184,1.562501e-02,7.760506e-03
185,1.558069e-02,7.706044e-03
186,1.553663e-02,7.652088e-03
187,1.549283e-02,7.598621e-03
188,1.544931e-02,7.545632e-03
189,1.540607e-02,7.493167e-03
190,1.536311e-02,7.441194e-03
191,1.532042e-02,7.389662e-03
192,1.527801e-02,7.338536e-03
193,1.523584e-02,7.287842e-03
194,1.519393e-02,7.237626e-03
195,1.515229e-02,7.187858e-03
196,1.511090e-02,7.138501e-03
197,1.506976e-02,7.089530e-03
198,1.502889e-02,7.040924e-03
199,1.498826e-02,6.992668e-03
200,1.494787e-02,6.944760e-03
201,1.490775e-02,6.897224e-03
202,1.486787e-02,6.850048e-03
203,1.482823e-02,6.803209e-03
204,1.478884e-02,6.756686e-03
205,1.474968e-02,6.710472e-03
206,1.471075e-02,6.664558e-03
207,1.467207e-02,6.618937e-03
208,1.463360e-02,6.573605e-03
209,1.459537e-02,6.528557e-03
210,1.455736e-02,6.483784e-03
211,1.451959e-02,6.439286e-03
212,1.448202e-02,6.395047e-03
213,1.444469e-02,6.351052e-03
214,1.440758e-02,6.307297e-03
215,1.437070e-02,6.263775e-03
216,1.433404e-02,6.220475e-03
217,1.429760e-02,6.177389e-03
218,1.426137e-02,6.134514e-03
219,1.422536e-02,6.091891e-03
220,1.418956e-02,6.049520e-03
221,1.415397e-02,6.007373e-03
222,1.411859e-02,5.965434e-03
223,1.408341e-02,5.923690e-03
224,1.404842e-02,5.882137e-03
225,1.401363e-02,5.840772e-03
226,1.397905e-02,5.799580e-03
227,1.394468e-02,5.758549e-03
228,1.391050e-02,5.717671e-03
229,1.387650e-02,5.676946e-03
230,1.384270e-02,5.636371e-03
231,1.380908e-02,5.595943e-03
232,1.377567e-02,5.555658e-03
233,1.374245e-02,5.515528e-03
234,1.370942e-02,5.475580e-03
235,1.367657e-02,5.435802e-03
236,1.364388e-02,5.396172e-03
237,1.361136e-02,5.356671e-03
238,1.357904e-02,5.317284e-03
239,1.354690e-02,5.278003e-03
240,1.351492e-02,5.238830e-03
241,1.348311e-02,5.199767e-03
242,1.345149e-02,5.160820e-03
243,1.342002e-02,5.121989e-03
244,1.338872e-02,5.083277e-03
245,1.335758e-02,5.044680e-03
246,1.332661e-02,5.006201e-03
247,1.329580e-02,4.967832e-03
248,1.326517e-02,4.929567e-03
249,1.323470e-02,4.891410e-03
250,1.320437e-02,4.853355e-03
251,1.317429e-02,4.815264e-03
252,1.314437e-02,4.776900e-03
253,1.311462e-02,4.738556e-03
254,1.308501e-02,4.700399e-03
255,1.305556e-02,4.662486e-03
256,1.302623e-02,4.624821e-03
257,1.299704e-02,4.587374e-03
258,1.296800e-02,4.550107e-03
259,1.293911e-02,4.512981e-03
260,1.291036e-02,4.475961e-03
261,1.288172e-02,4.439033e-03
262,1.285321e-02,4.402186e-03
263,1.282484e-02,4.365418e-03
264,1.279660e-02,4.328727e-03
265,1.276849e-02,4.292111e-03
266,1.274050e-02,4.255569e-03
267,1.271263e-02,4.219100e-03
268,1.268489e-02,4.182708e-03
269,1.265726e-02,4.146394e-03
270,1.262975e-02,4.110162e-03
271,1.260234e-02,4.074016e-03
272,1.257505e-02,4.037959e-03
273,1.254787e-02,4.001991e-03
274,1.252081e-02,3.966117e-03
275,1.249385e-02,3.930350e-03
276,1.246699e-02,3.894693e-03
277,1.244024e-02,3.859148e-03
278,1.241359e-02,3.823711e-03
279,1.238705e-02,3.788379e-03
280,1.236060e-02,3.753155e-03
281,1.233423e-02,3.718052e-03
282,1.230797e-02,3.683074e-03
