iter,R_mom,R_div
1,1.888797e+00,7.998017e+00
2,1.734239e+00,8.865862e+00
3,1.091090e+00,6.677520e+00
4,6.110514e-01,4.817231e+00
5,4.140803e-01,4.103113e+00
6,3.260830e-01,3.173001e+00
7,2.713689e-01,2.956169e+00
8,2.370006e-01,2.268085e+00
9,2.057992e-01,2.486467e+00
10,1.709464e-01,2.565827e+00
11,1.394332e-01,2.326029e+00
12,1.183417e-01,2.066404e+00
13,1.078248e-01,1.884547e+00
14,1.022706e-01,1.638841e+00
15,9.762803e-02,1.382749e+00
16,9.264284e-02,1.145985e+00
17,8.779908e-02,1.064521e+00
18,8.371837e-02,1.043860e+00
19,8.042000e-02,9.920207e-01
20,7.766151e-02,9.166087e-01
21,7.522032e-02,8.235507e-01
22,7.300170e-02,7.187355e-01
23,7.098999e-02,5.993595e-01
24,6.918945e-02,4.883546e-01
25,6.758181e-02,4.591194e-01
26,6.613394e-02,4.264840e-01
27,6.479421e-02,3.966065e-01
28,6.355694e-02,3.746280e-01
29,6.241685e-02,3.523507e-01
30,6.137071e-02,3.301882e-01
31,6.039313e-02,3.083997e-01
32,5.946595e-02,2.925795e-01
33,5.858718e-02,2.814352e-01
34,5.776107e-02,2.703721e-01
35,5.698854e-02,2.594060e-01
36,5.626289e-02,2.485495e-01
37,5.558267e-02,2.378540e-01
38,5.494627e-02,2.273673e-01
39,5.435029e-02,2.171590e-01
40,5.377732e-02,2.073070e-01
41,5.322415e-02,1.978822e-01
42,5.270005e-02,1.925375e-01
43,5.220265e-02,1.892347e-01
44,5.172567e-02,1.835238e-01
45,5.127440e-02,1.765705e-01
46,5.084730e-02,1.691156e-01
47,5.042774e-02,1.616103e-01
48,5.002889e-02,1.542842e-01
49,4.964821e-02,1.472446e-01
50,4.928213e-02,1.405085e-01
51,4.892387e-02,1.340379e-01
52,4.857843e-02,1.277683e-01
53,4.825041e-02,1.235845e-01
54,4.794053e-02,1.200760e-01
55,4.764628e-02,1.168291e-01
56,4.736578e-02,1.138071e-01
57,4.710099e-02,1.109787e-01
58,4.684862e-02,1.083127e-01
59,4.660324e-02,1.057821e-01
60,4.637058e-02,1.033591e-01
61,4.615179e-02,1.010220e-01
62,4.594595e-02,9.875532e-02
63,4.574520e-02,9.654611e-02
64,4.555465e-02,9.437376e-02
65,4.537295e-02,9.222125e-02
66,4.520022e-02,9.009790e-02
67,4.503763e-02,8.801059e-02
68,4.488496e-02,8.596049e-02
69,4.473635e-02,8.394686e-02
70,4.459508e-02,8.196668e-02
71,4.446075e-02,8.002076e-02
72,4.433328e-02,7.811091e-02
73,4.421123e-02,7.623948e-02
74,4.408772e-02,7.440903e-02
75,4.396870e-02,7.262077e-02
76,4.385527e-02,7.087671e-02
77,4.374902e-02,6.917973e-02
78,4.364317e-02,6.753370e-02
79,4.354244e-02,6.594299e-02
80,4.344497e-02,6.440911e-02
81,4.335060e-02,6.293627e-02
82,4.326222e-02,6.152384e-02
83,4.317856e-02,6.017209e-02
84,4.309950e-02,5.888188e-02
85,4.302008e-02,5.765427e-02
86,4.294299e-02,5.649058e-02
87,4.286907e-02,5.538863e-02
88,4.280024e-02,5.434585e-02
89,4.273727e-02,5.335814e-02
90,4.267641e-02,5.242230e-02
91,4.261822e-02,5.153616e-02
92,4.256405e-02,5.069372e-02
93,4.251249e-02,4.988498e-02
94,4.246114e-02,4.911457e-02
95,4.241095e-02,4.838747e-02
96,4.236327e-02,4.770248e-02
97,4.231511e-02,4.705682e-02
98,4.226999e-02,4.644477e-02
99,4.222950e-02,4.586208e-02
100,4.219222e-02,4.530580e-02
101,4.215603e-02,4.477499e-02
102,4.211970e-02,4.426988e-02
103,4.208464e-02,4.378999e-02
104,4.205412e-02,4.333328e-02
105,4.202725e-02,4.289668e-02
106,4.200461e-02,4.247807e-02
107,4.198473e-02,4.207503e-02
108,4.196643e-02,4.168561e-02
109,4.194923e-02,4.130991e-02
110,4.193042e-02,4.094829e-02
111,4.191317e-02,4.059904e-02
112,4.189695e-02,4.026031e-02
113,4.188308e-02,3.993199e-02
114,4.187208e-02,3.961444e-02
115,4.186443e-02,3.930703e-02
116,4.185917e-02,3.900919e-02
117,4.185446e-02,3.872071e-02
118,4.185225e-02,3.844144e-02
119,4.185263e-02,3.817040e-02
120,4.185496e-02,3.790843e-02
121,4.185942e-02,3.765617e-02
122,4.186456e-02,3.741125e-02
123,4.186893e-02,3.717205e-02
124,4.187517e-02,3.693799e-02
125,4.188156e-02,3.670871e-02
126,4.189050e-02,3.648402e-02
127,4.190124e-02,3.626358e-02
128,4.191340e-02,3.604768e-02
129,4.192793e-02,3.583696e-02
130,4.194394e-02,3.563195e-02
131,4.196162e-02,3.543287e-02
132,4.198140e-02,3.523669e-02
133,4.200148e-02,3.503718e-02
134,4.202285e-02,3.483440e-02
135,4.204614e-02,3.463535e-02
136,4.207133e-02,3.444092e-02
137,4.209753e-02,3.425123e-02
138,4.212464e-02,3.406609e-02
139,4.215314e-02,3.388516e-02
140,4.218296e-02,3.370830e-02
141,4.221161e-02,3.353502e-02
142,4.223973e-02,3.336422e-02
143,4.226687e-02,3.319415e-02
144,4.229480e-02,3.302402e-02
145,4.232393e-02,3.285353e-02
146,4.235457e-02,3.268227e-02
147,4.238667e-02,3.251115e-02
148,4.241914e-02,3.234012e-02
149,4.245223e-02,3.216983e-02
150,4.248757e-02,3.199980e-02
151,4.252438e-02,3.182979e-02
152,4.256109e-02,3.165950e-02
153,4.259810e-02,3.148815e-02
154,4.263451e-02,3.131624e-02
155,4.267117e-02,3.114425e-02
156,4.270909e-02,3.097253e-02
157,4.274761e-02,3.080179e-02
158,4.278715e-02,3.063129e-02
159,4.282765e-02,3.045986e-02
160,4.286988e-02,3.028724e-02
161,4.291408e-02,3.011369e-02
162,4.295853e-02,2.993948e-02
163,4.300379e-02,2.976459e-02
164,4.304980e-02,2.958927e-02
165,4.309617e-02,2.941355e-02
166,4.314370e-02,2.923720e-02
167,4.319197e-02,2.906035e-02
168,4.324098e-02,2.888255e-02
169,4.329025e-02,2.870359e-02
170,4.333952e-02,2.852380e-02
171,4.338939e-02,2.834319e-02
172,4.344054e-02,2.816226e-02
173,4.349181e-02,2.798080e-02
174,4.354334e-02,2.779822e-02
175,4.359618e-02,2.761385e-02
176,4.365038e-02,2.742793e-02
177,4.370586e-02,2.724030e-02
178,4.376209e-02,2.741454e-02
179,4.381901e-02,2.778807e-02
180,4.387650e-02,2.816562e-02
181,4.393381e-02,2.854415e-02
182,4.399182e-02,2.891759e-02
183,4.405164e-02,2.928985e-02
184,4.411175e-02,2.965863e-02
185,4.417234e-02,3.002006e-02
186,4.423433e-02,3.037502e-02
187,4.429736e-02,3.072545e-02
188,4.436116e-02,3.107230e-02
189,4.442520e-02,3.141539e-02
190,4.448963e-02,3.175246e-02
191,4.455585e-02,3.208206e-02
192,4.462227e-02,3.240931e-02
193,4.468887e-02,3.273600e-02
194,4.475611e-02,3.306146e-02
195,4.482471e-02,3.338665e-02
196,4.489336e-02,3.370835e-02
197,4.496260e-02,3.403100e-02
198,4.503205e-02,3.435465e-02
199,4.510241e-02,3.467768e-02
200,4.517361e-02,3.500020e-02
201,4.524491e-02,3.532329e-02
202,4.531665e-02,3.564478e-02
203,4.538866e-02,3.596314e-02
204,4.546174e-02,3.627528e-02
205,4.553628e-02,3.657665e-02
206,4.561098e-02,3.686821e-02
207,4.568514e-02,3.714887e-02
208,4.575959e-02,3.741991e-02
209,4.583533e-02,3.768125e-02
210,4.591238e-02,3.793340e-02
211,4.599094e-02,3.817631e-02
212,4.606868e-02,3.841053e-02
213,4.614607e-02,3.863086e-02
214,4.622446e-02,3.883791e-02
215,4.630338e-02,3.903393e-02
216,4.638435e-02,3.921659e-02
217,4.646590e-02,3.938725e-02
218,4.654713e-02,3.954325e-02
219,4.662850e-02,3.968167e-02
220,4.671033e-02,3.980128e-02
