iter,R_mom,R_div
1,2.787820e+00,1.199342e+01
2,2.606997e+00,1.312376e+01
3,1.626524e+00,1.024579e+01
4,8.745838e-01,8.786564e+00
5,5.887869e-01,7.029881e+00
6,4.659353e-01,5.192737e+00
7,3.759053e-01,3.660578e+00
8,3.185708e-01,3.275675e+00
9,2.721382e-01,3.153352e+00
10,2.226246e-01,2.890619e+00
11,1.773927e-01,3.181173e+00
12,1.476390e-01,3.456400e+00
13,1.337530e-01,3.371817e+00
14,1.274717e-01,3.063708e+00
15,1.221559e-01,2.660000e+00
16,1.159703e-01,2.241100e+00
17,1.098127e-01,1.850106e+00
18,1.046091e-01,1.504930e+00
19,1.004237e-01,1.176800e+00
20,9.697853e-02,1.068018e+00
21,9.390453e-02,9.983255e-01
22,9.103702e-02,9.200225e-01
23,8.840046e-02,8.359679e-01
24,8.602862e-02,7.497949e-01
25,8.391450e-02,6.655307e-01
26,8.202442e-02,5.868625e-01
27,8.031154e-02,5.167597e-01
28,7.874053e-02,4.723241e-01
29,7.728439e-02,4.364602e-01
30,7.591752e-02,4.123738e-01
31,7.463111e-02,3.981260e-01
32,7.341749e-02,3.837067e-01
33,7.227306e-02,3.691382e-01
34,7.119130e-02,3.544697e-01
35,7.017268e-02,3.397506e-01
36,6.921677e-02,3.250709e-01
37,6.831569e-02,3.105240e-01
38,6.746041e-02,2.983398e-01
39,6.664661e-02,2.966597e-01
40,6.586970e-02,2.941640e-01
41,6.512710e-02,2.906640e-01
42,6.441505e-02,2.861044e-01
43,6.373497e-02,2.805123e-01
44,6.308096e-02,2.739735e-01
45,6.245331e-02,2.665933e-01
46,6.185776e-02,2.585047e-01
47,6.128604e-02,2.499396e-01
48,6.072897e-02,2.410990e-01
49,6.018985e-02,2.321543e-01
50,5.965942e-02,2.232573e-01
51,5.914257e-02,2.145395e-01
52,5.864048e-02,2.061102e-01
53,5.815150e-02,1.980605e-01
54,5.767600e-02,1.904448e-01
55,5.721766e-02,1.832683e-01
56,5.677453e-02,1.764862e-01
57,5.634498e-02,1.701440e-01
58,5.592910e-02,1.642889e-01
59,5.552475e-02,1.588956e-01
60,5.513269e-02,1.539179e-01
61,5.474998e-02,1.493077e-01
62,5.437700e-02,1.450173e-01
63,5.401419e-02,1.410012e-01
64,5.365703e-02,1.372181e-01
65,5.330506e-02,1.336372e-01
66,5.296387e-02,1.302263e-01
67,5.263162e-02,1.269639e-01
68,5.231037e-02,1.238271e-01
69,5.199738e-02,1.208032e-01
70,5.169223e-02,1.178766e-01
71,5.139129e-02,1.150360e-01
72,5.109861e-02,1.122387e-01
73,5.081190e-02,1.094654e-01
74,5.053163e-02,1.090691e-01
75,5.025568e-02,1.088032e-01
76,4.998794e-02,1.083879e-01
77,4.972786e-02,1.078398e-01
78,4.947703e-02,1.071757e-01
79,4.923521e-02,1.064104e-01
80,4.900080e-02,1.055568e-01
81,4.877172e-02,1.046240e-01
82,4.854887e-02,1.036170e-01
83,4.833300e-02,1.025408e-01
84,4.812354e-02,1.013993e-01
85,4.791449e-02,1.001966e-01
86,4.771081e-02,9.893590e-02
87,4.751225e-02,9.762151e-02
88,4.732029e-02,9.625902e-02
89,4.713225e-02,9.485601e-02
90,4.694952e-02,9.342003e-02
91,4.677396e-02,9.195811e-02
92,4.660553e-02,9.030185e-02
93,4.644317e-02,8.848795e-02
94,4.628718e-02,8.662337e-02
95,4.613551e-02,8.478006e-02
96,4.598653e-02,8.297515e-02
97,4.584131e-02,8.122338e-02
98,4.569971e-02,7.952854e-02
99,4.556172e-02,7.788928e-02
100,4.542708e-02,7.629974e-02
101,4.529650e-02,7.475426e-02
102,4.516885e-02,7.324870e-02
103,4.504444e-02,7.177905e-02
104,4.492319e-02,7.034229e-02
105,4.480730e-02,6.893641e-02
106,4.469424e-02,6.755955e-02
107,4.458523e-02,6.620521e-02
108,4.448022e-02,6.486942e-02
109,4.437751e-02,6.355591e-02
110,4.427558e-02,6.225763e-02
111,4.417580e-02,6.096384e-02
112,4.407875e-02,5.966593e-02
113,4.398532e-02,5.835795e-02
114,4.389550e-02,5.703744e-02
115,4.380919e-02,5.570508e-02
116,4.372718e-02,5.436243e-02
117,4.364799e-02,5.300941e-02
118,4.357168e-02,5.164468e-02
119,4.349919e-02,5.026885e-02
120,4.343127e-02,4.887994e-02
121,4.336679e-02,4.747788e-02
122,4.330486e-02,4.606388e-02
123,4.324361e-02,4.489056e-02
