iter,R_mom,R_div
1,2.904529e+00,1.199934e+01
2,2.592978e+00,1.344534e+01
3,1.570532e+00,1.030010e+01
4,8.477018e-01,8.784266e+00
5,5.747121e-01,6.966328e+00
6,4.485971e-01,5.137077e+00
7,3.648494e-01,3.628962e+00
8,3.133893e-01,3.307549e+00
9,2.675231e-01,3.192478e+00
10,2.178764e-01,2.945163e+00
11,1.744537e-01,3.379129e+00
12,1.473449e-01,3.646690e+00
13,1.348856e-01,3.533016e+00
14,1.286414e-01,3.202236e+00
15,1.230270e-01,2.777386e+00
16,1.168636e-01,2.336623e+00
17,1.109906e-01,1.922037e+00
18,1.061398e-01,1.551706e+00
19,1.021635e-01,1.223491e+00
20,9.884594e-02,1.106706e+00
21,9.584836e-02,1.029051e+00
22,9.305709e-02,9.419654e-01
23,9.050678e-02,8.489102e-01
24,8.822252e-02,7.540925e-01
25,8.618572e-02,6.620523e-01
26,8.436181e-02,5.769738e-01
27,8.271402e-02,5.123077e-01
28,8.122183e-02,4.756968e-01
29,7.984019e-02,4.390342e-01
30,7.854827e-02,4.181210e-01
31,7.732910e-02,4.039454e-01
32,7.617518e-02,3.894243e-01
33,7.507860e-02,3.746070e-01
34,7.403404e-02,3.595701e-01
35,7.305737e-02,3.443946e-01
36,7.214678e-02,3.291725e-01
37,7.128324e-02,3.140498e-01
38,7.046021e-02,3.052990e-01
39,6.967724e-02,3.071710e-01
40,6.893621e-02,3.077524e-01
41,6.823344e-02,3.067898e-01
42,6.755084e-02,3.041945e-01
43,6.689676e-02,3.000106e-01
44,6.627988e-02,2.942898e-01
45,6.568678e-02,2.871987e-01
46,6.511303e-02,2.790231e-01
47,6.455277e-02,2.700677e-01
48,6.400262e-02,2.606026e-01
49,6.345403e-02,2.508561e-01
50,6.291843e-02,2.410502e-01
51,6.240155e-02,2.313830e-01
52,6.190473e-02,2.220207e-01
53,6.142714e-02,2.130952e-01
54,6.096422e-02,2.047064e-01
55,6.050920e-02,1.969067e-01
56,6.006417e-02,1.896294e-01
57,5.963587e-02,1.828660e-01
58,5.922395e-02,1.767056e-01
59,5.882776e-02,1.711532e-01
60,5.844456e-02,1.661414e-01
61,5.806661e-02,1.615920e-01
62,5.768673e-02,1.574298e-01
63,5.731399e-02,1.535901e-01
64,5.694987e-02,1.500086e-01
65,5.659689e-02,1.466324e-01
66,5.624763e-02,1.434195e-01
67,5.589916e-02,1.403378e-01
68,5.555994e-02,1.373585e-01
69,5.523162e-02,1.344551e-01
70,5.491373e-02,1.316147e-01
71,5.460701e-02,1.288278e-01
72,5.430870e-02,1.260840e-01
73,5.401887e-02,1.233011e-01
74,5.373690e-02,1.204769e-01
75,5.345890e-02,1.177064e-01
76,5.318576e-02,1.150283e-01
77,5.292035e-02,1.124439e-01
78,5.266002e-02,1.099412e-01
79,5.240843e-02,1.075083e-01
80,5.216665e-02,1.051392e-01
81,5.193447e-02,1.028679e-01
82,5.170996e-02,1.013431e-01
83,5.149122e-02,9.980343e-02
84,5.127773e-02,9.824978e-02
85,5.106604e-02,9.661428e-02
86,5.085437e-02,9.464279e-02
87,5.064815e-02,9.251137e-02
88,5.044638e-02,9.033836e-02
89,5.024943e-02,8.819423e-02
90,5.005595e-02,8.611942e-02
91,4.986334e-02,8.412977e-02
92,4.967846e-02,8.222896e-02
93,4.950091e-02,8.041361e-02
94,4.932879e-02,7.880917e-02
95,4.916210e-02,7.732274e-02
96,4.899573e-02,7.581523e-02
97,4.883721e-02,7.428832e-02
98,4.868164e-02,7.281484e-02
