iter,R_mom,R_div
1,7.309433e-01,1.145932e+01
2,8.642993e-01,9.519459e+00
3,1.147551e+00,7.586651e+00
4,1.381915e+00,6.238256e+00
5,1.497411e+00,5.603308e+00
6,1.455840e+00,5.579428e+00
7,1.257930e+00,6.158591e+00
8,9.560533e-01,6.107223e+00
9,6.495367e-01,5.531673e+00
10,4.870989e-01,5.357714e+00
11,5.460810e-01,5.267620e+00
12,6.581788e-01,4.858398e+00
13,7.082375e-01,4.187393e+00
14,6.853039e-01,3.375145e+00
15,6.028991e-01,3.626979e+00
16,4.903392e-01,3.773694e+00
17,3.784565e-01,3.607485e+00
18,2.909616e-01,3.217776e+00
19,2.439301e-01,2.846233e+00
20,2.322773e-01,2.355151e+00
21,2.341423e-01,2.191193e+00
22,2.314001e-01,2.108925e+00
23,2.177457e-01,1.900197e+00
24,1.940499e-01,1.681086e+00
25,1.650890e-01,1.593606e+00
26,1.369512e-01,1.675745e+00
27,1.167118e-01,1.623739e+00
28,1.086692e-01,1.463540e+00
29,1.103839e-01,1.231740e+00
30,1.150016e-01,1.014853e+00
31,1.169610e-01,7.953000e-01
32,1.142426e-01,6.685116e-01
33,1.065033e-01,6.181130e-01
34,9.507746e-02,6.566855e-01
35,8.227060e-02,6.701558e-01
36,7.079830e-02,6.498337e-01
37,6.306450e-02,6.103957e-01
38,5.998055e-02,5.836947e-01
39,6.034138e-02,5.314766e-01
40,6.192605e-02,4.478290e-01
41,6.300334e-02,3.909015e-01
42,6.276893e-02,4.302150e-01
43,6.112295e-02,4.646910e-01
44,5.843296e-02,4.861744e-01
45,5.527241e-02,4.946845e-01
46,5.220961e-02,4.911966e-01
47,4.965605e-02,4.774071e-01
48,4.778352e-02,4.554827e-01
49,4.656348e-02,4.277501e-01
50,4.577817e-02,3.966460e-01
51,4.519662e-02,3.644312e-01
52,4.465350e-02,3.330400e-01
53,4.407161e-02,3.039860e-01
54,4.342808e-02,2.783636e-01
55,4.272570e-02,2.577927e-01
56,4.199249e-02,2.469243e-01
57,4.125476e-02,2.354787e-01
58,4.053126e-02,2.241343e-01
59,3.983453e-02,2.144364e-01
60,3.917378e-02,2.099378e-01
61,3.855672e-02,2.092597e-01
62,3.798894e-02,2.099104e-01
63,3.747199e-02,2.112494e-01
64,3.700172e-02,2.127270e-01
65,3.656810e-02,2.139031e-01
66,3.616596e-02,2.144298e-01
67,3.577664e-02,2.141047e-01
68,3.538441e-02,2.128286e-01
69,3.498351e-02,2.105784e-01
70,3.457412e-02,2.074006e-01
71,3.416129e-02,2.033934e-01
72,3.375264e-02,1.986899e-01
73,3.335593e-02,1.934426e-01
74,3.297692e-02,1.878108e-01
75,3.261827e-02,1.819506e-01
76,3.227947e-02,1.760073e-01
77,3.195761e-02,1.701102e-01
78,3.164859e-02,1.643695e-01
79,3.134828e-02,1.588747e-01
80,3.105341e-02,1.536942e-01
81,3.076517e-02,1.488671e-01
82,3.048500e-02,1.444149e-01
83,3.020775e-02,1.403626e-01
84,2.993428e-02,1.367052e-01
85,2.966556e-02,1.334243e-01
86,2.940236e-02,1.304900e-01
87,2.914509e-02,1.278634e-01
88,2.889381e-02,1.254996e-01
89,2.864823e-02,1.233497e-01
90,2.840792e-02,1.213634e-01
91,2.817238e-02,1.194922e-01
92,2.794116e-02,1.176903e-01
93,2.771395e-02,1.159177e-01
94,2.749054e-02,1.141407e-01
95,2.727087e-02,1.123336e-01
96,2.705495e-02,1.104787e-01
97,2.684283e-02,1.085667e-01
98,2.663830e-02,1.065848e-01
99,2.643941e-02,1.045437e-01
100,2.624426e-02,1.024599e-01
101,2.605277e-02,1.003491e-01
102,2.586479e-02,9.822976e-02
103,2.568018e-02,9.612179e-02
104,2.549873e-02,9.404493e-02
105,2.532029e-02,9.201754e-02
106,2.514471e-02,9.005552e-02
107,2.497188e-02,8.817156e-02
108,2.480169e-02,8.637464e-02
109,2.463411e-02,8.466983e-02
110,2.446908e-02,8.305844e-02
111,2.430658e-02,8.153827e-02
112,2.414656e-02,8.010417e-02
113,2.398899e-02,7.874868e-02
114,2.383382e-02,7.746267e-02
115,2.368100e-02,7.623614e-02
116,2.353048e-02,7.505878e-02
117,2.338559e-02,7.390996e-02
118,2.324321e-02,7.279034e-02
119,2.310290e-02,7.169337e-02
120,2.296460e-02,7.061288e-02
121,2.282827e-02,6.954432e-02
122,2.269387e-02,6.848472e-02
123,2.256137e-02,6.743268e-02
124,2.243072e-02,6.638808e-02
125,2.230190e-02,6.535166e-02
126,2.217485e-02,6.432558e-02
127,2.204956e-02,6.331224e-02
