iter,R_mom,R_div
1,2.588132e+00,1.199671e+01
2,1.849923e+00,1.383854e+01
3,1.513713e+00,1.433439e+01
4,1.509247e+00,1.478822e+01
5,1.488582e+00,1.491803e+01
6,1.376853e+00,1.466484e+01
7,1.206854e+00,1.401988e+01
8,1.021779e+00,1.297143e+01
9,8.555956e-01,1.185485e+01
10,7.310152e-01,1.041643e+01
11,6.555638e-01,8.601694e+00
12,6.212446e-01,6.759920e+00
13,6.053569e-01,6.297885e+00
14,5.862486e-01,7.730504e+00
15,5.545502e-01,9.069309e+00
16,5.111384e-01,9.936440e+00
17,4.593119e-01,1.028404e+01
18,4.055956e-01,1.151164e+01
19,3.563849e-01,1.213443e+01
20,3.159473e-01,1.199159e+01
21,2.849949e-01,1.253796e+01
22,2.628625e-01,1.269518e+01
23,2.476436e-01,1.231169e+01
24,2.359592e-01,1.149234e+01
25,2.249818e-01,1.052975e+01
26,2.134681e-01,9.733794e+00
27,2.015464e-01,8.853611e+00
28,1.895716e-01,7.977173e+00
29,1.784446e-01,6.995980e+00
30,1.687773e-01,5.960457e+00
31,1.609957e-01,4.917146e+00
32,1.549588e-01,3.905972e+00
33,1.502003e-01,2.958313e+00
34,1.461109e-01,2.100297e+00
35,1.423651e-01,1.445808e+00
36,1.388148e-01,1.754149e+00
37,1.354503e-01,1.894031e+00
38,1.322008e-01,1.897723e+00
39,1.292564e-01,1.798212e+00
40,1.266647e-01,1.629691e+00
41,1.244471e-01,1.423891e+00
42,1.225745e-01,1.211022e+00
43,1.210080e-01,1.173596e+00
44,1.196654e-01,1.140571e+00
45,1.184094e-01,1.090771e+00
46,1.172496e-01,1.029296e+00
47,1.162019e-01,9.597549e-01
48,1.152502e-01,8.846835e-01
49,1.144238e-01,8.058504e-01
50,1.136840e-01,7.245670e-01
51,1.130293e-01,6.583863e-01
52,1.123514e-01,6.159699e-01
53,1.117260e-01,6.050655e-01
54,1.111554e-01,5.997963e-01
55,1.106346e-01,5.930212e-01
56,1.101572e-01,5.854277e-01
57,1.097274e-01,5.816051e-01
58,1.093018e-01,5.654721e-01
59,1.088401e-01,5.227576e-01
60,1.084440e-01,4.821156e-01
61,1.080991e-01,4.455626e-01
62,1.077919e-01,4.136603e-01
63,1.075016e-01,3.813038e-01
64,1.072165e-01,3.576986e-01
65,1.069126e-01,3.409644e-01
66,1.066468e-01,3.282637e-01
67,1.064002e-01,3.133470e-01
68,1.061825e-01,3.018887e-01
69,1.060049e-01,2.910498e-01
70,1.058354e-01,2.803944e-01
71,1.056415e-01,2.644167e-01
72,1.054372e-01,2.530578e-01
73,1.052679e-01,2.435122e-01
74,1.051433e-01,2.341611e-01
75,1.050614e-01,2.219651e-01
76,1.049125e-01,2.145417e-01
77,1.047679e-01,2.090522e-01
78,1.046595e-01,2.020285e-01
79,1.045920e-01,1.925489e-01
80,1.045308e-01,1.863589e-01
81,1.044516e-01,1.801701e-01
