iter,R_mom,R_div
1,4.452088e+00,1.199671e+01
2,6.122098e+00,1.748292e+01
3,7.585206e+00,1.891467e+01
4,8.452284e+00,1.887924e+01
5,8.425205e+00,1.633000e+01
6,7.660467e+00,1.285209e+01
7,6.447135e+00,1.027447e+01
8,5.053875e+00,8.204226e+00
9,3.724798e+00,9.855624e+00
10,2.667337e+00,1.224940e+01
11,2.052971e+00,1.306273e+01
12,1.900360e+00,1.240108e+01
13,1.978582e+00,1.055804e+01
14,2.061575e+00,8.258201e+00
15,2.046050e+00,6.786459e+00
16,1.918253e+00,6.419550e+00
17,1.701975e+00,5.971129e+00
18,1.433694e+00,5.237441e+00
19,1.151768e+00,4.628192e+00
20,8.913543e-01,5.796952e+00
21,6.832726e-01,6.383632e+00
22,5.489931e-01,6.433180e+00
23,4.891955e-01,6.026870e+00
24,4.761406e-01,5.265919e+00
25,4.764235e-01,4.810072e+00
26,4.706529e-01,4.425102e+00
27,4.541758e-01,3.877026e+00
28,4.300390e-01,3.246347e+00
29,4.039366e-01,2.735389e+00
30,3.812282e-01,2.330780e+00
31,3.647953e-01,1.886688e+00
32,3.547380e-01,1.437067e+00
33,3.489926e-01,1.008432e+00
34,3.448919e-01,7.940706e-01
35,3.402269e-01,7.745602e-01
36,3.338312e-01,7.480945e-01
37,3.248668e-01,7.085238e-01
38,3.143600e-01,6.578610e-01
39,3.032756e-01,6.040394e-01
40,2.923532e-01,5.801078e-01
41,2.822872e-01,6.200854e-01
42,2.735210e-01,6.315662e-01
43,2.661830e-01,6.212136e-01
44,2.602474e-01,5.949590e-01
45,2.553665e-01,5.578473e-01
46,2.513821e-01,5.234101e-01
47,2.479138e-01,5.180696e-01
48,2.448501e-01,5.077569e-01
49,2.422443e-01,4.939776e-01
50,2.400059e-01,4.773422e-01
51,2.380563e-01,4.585249e-01
52,2.362974e-01,4.382625e-01
53,2.345023e-01,4.172323e-01
54,2.327096e-01,3.959882e-01
55,2.308874e-01,3.745567e-01
56,2.290409e-01,3.528149e-01
57,2.272190e-01,3.305920e-01
58,2.254385e-01,3.080833e-01
59,2.236735e-01,2.854743e-01
60,2.219540e-01,2.625149e-01
61,2.202897e-01,2.387726e-01
62,2.186942e-01,2.142231e-01
63,2.171750e-01,2.050659e-01
64,2.157429e-01,2.024366e-01
65,2.143958e-01,1.982881e-01
66,2.131091e-01,1.967939e-01
67,2.119072e-01,1.958121e-01
68,2.107844e-01,1.949007e-01
69,2.096891e-01,1.940863e-01
70,2.086709e-01,1.932455e-01
71,2.077304e-01,1.923438e-01
72,2.068439e-01,1.913536e-01
73,2.059737e-01,1.902684e-01
74,2.051436e-01,1.890741e-01
75,2.043419e-01,1.877646e-01
76,2.035640e-01,1.863846e-01
77,2.028155e-01,1.872414e-01
78,2.021073e-01,1.901946e-01
79,2.014281e-01,1.925965e-01
80,2.007479e-01,1.946460e-01
81,2.000957e-01,1.967933e-01
82,1.994695e-01,2.043393e-01
83,1.988637e-01,2.167442e-01
84,1.982656e-01,2.280650e-01
85,1.976775e-01,2.383061e-01
86,1.971154e-01,2.475078e-01
87,1.965819e-01,2.557611e-01
88,1.960448e-01,2.631693e-01
89,1.955190e-01,2.697664e-01
90,1.950085e-01,2.755647e-01
91,1.945186e-01,2.806321e-01
92,1.940397e-01,2.850423e-01
93,1.935736e-01,2.887253e-01
94,1.931226e-01,2.914291e-01
95,1.926878e-01,2.930069e-01
96,1.922575e-01,2.935102e-01
97,1.918342e-01,2.930439e-01
98,1.914247e-01,2.917649e-01
99,1.910297e-01,2.898148e-01
100,1.906535e-01,2.872544e-01
101,1.902997e-01,2.841744e-01
102,1.899514e-01,2.806386e-01
103,1.896187e-01,2.766355e-01
104,1.893084e-01,2.720713e-01
105,1.890102e-01,2.670161e-01
106,1.887170e-01,2.615309e-01
107,1.884316e-01,2.557070e-01
108,1.881683e-01,2.496155e-01
109,1.879210e-01,2.433746e-01
110,1.876858e-01,2.370684e-01
111,1.874617e-01,2.307081e-01
112,1.872581e-01,2.243080e-01
113,1.870587e-01,2.179212e-01
114,1.868691e-01,2.114846e-01
115,1.866623e-01,2.050170e-01
