iter,R_mom,R_div
1,7.769334e+00,1.199671e+01
2,1.145976e+01,1.876339e+01
3,1.209332e+01,2.095603e+01
4,1.048728e+01,1.892277e+01
5,7.809297e+00,1.433738e+01
6,5.163360e+00,1.035708e+01
7,3.350954e+00,9.051719e+00
8,2.652139e+00,7.664964e+00
9,2.509312e+00,8.349151e+00
10,2.318839e+00,7.334280e+00
11,1.953340e+00,6.122192e+00
12,1.497754e+00,7.415828e+00
13,1.067003e+00,7.880042e+00
14,7.691849e-01,8.722374e+00
15,6.510165e-01,1.016653e+01
16,6.444181e-01,1.071268e+01
17,6.535631e-01,1.031210e+01
18,6.406252e-01,9.127996e+00
19,6.062516e-01,7.432286e+00
20,5.619282e-01,5.502261e+00
21,5.173911e-01,3.561679e+00
22,4.772086e-01,2.748605e+00
23,4.424679e-01,2.896074e+00
24,4.131082e-01,2.759258e+00
25,3.892474e-01,2.413971e+00
26,3.708768e-01,2.607616e+00
27,3.575911e-01,2.950833e+00
28,3.483477e-01,3.020413e+00
29,3.417547e-01,2.859450e+00
30,3.364441e-01,2.527839e+00
31,3.314124e-01,2.088286e+00
32,3.262454e-01,1.597438e+00
33,3.209951e-01,1.101626e+00
34,3.156925e-01,8.476205e-01
35,3.103742e-01,7.319108e-01
36,3.053317e-01,6.735239e-01
37,3.006265e-01,5.807957e-01
38,2.963809e-01,5.736373e-01
39,2.925260e-01,6.891138e-01
40,2.890450e-01,7.378431e-01
41,2.858971e-01,7.296067e-01
42,2.830295e-01,6.764183e-01
43,2.803616e-01,5.911513e-01
44,2.778961e-01,5.606407e-01
45,2.755558e-01,5.417296e-01
46,2.733148e-01,4.878679e-01
47,2.711328e-01,4.262980e-01
48,2.690049e-01,3.675160e-01
49,2.670156e-01,3.149949e-01
50,2.651473e-01,2.972268e-01
51,2.633602e-01,2.955535e-01
52,2.616673e-01,2.916927e-01
53,2.600945e-01,2.861994e-01
54,2.586578e-01,2.792874e-01
55,2.573338e-01,2.726993e-01
56,2.560075e-01,2.834810e-01
57,2.547178e-01,2.914164e-01
58,2.534846e-01,2.963760e-01
59,2.522510e-01,2.986271e-01
60,2.510345e-01,2.983789e-01
61,2.498242e-01,2.959741e-01
62,2.486583e-01,2.919482e-01
63,2.475526e-01,2.868817e-01
64,2.464928e-01,2.810536e-01
65,2.454997e-01,2.745620e-01
66,2.445364e-01,2.676498e-01
67,2.436282e-01,2.604341e-01
68,2.427765e-01,2.526710e-01
69,2.419828e-01,2.440900e-01
70,2.412445e-01,2.351139e-01
71,2.405389e-01,2.263581e-01
72,2.398640e-01,2.178137e-01
73,2.392181e-01,2.093367e-01
74,2.386164e-01,2.008490e-01
75,2.380433e-01,2.026435e-01
76,2.374940e-01,2.069564e-01
77,2.369714e-01,2.106538e-01
78,2.364639e-01,2.135785e-01
79,2.359643e-01,2.156034e-01
80,2.354460e-01,2.165910e-01
81,2.349638e-01,2.165332e-01
82,2.345212e-01,2.152950e-01
83,2.340934e-01,2.129103e-01
84,2.336867e-01,2.097506e-01
85,2.332925e-01,2.060608e-01
86,2.329221e-01,2.019550e-01
87,2.325714e-01,1.975046e-01
88,2.322369e-01,1.927680e-01
89,2.319214e-01,1.878506e-01
90,2.316234e-01,1.827562e-01
91,2.313284e-01,1.774536e-01
92,2.310655e-01,1.778868e-01
93,2.308291e-01,1.808010e-01
94,2.306006e-01,1.828714e-01
95,2.303804e-01,1.841563e-01
96,2.301791e-01,1.846564e-01
97,2.299810e-01,1.844590e-01
98,2.297874e-01,1.836713e-01
99,2.296061e-01,1.823467e-01
100,2.294403e-01,1.805334e-01
101,2.292945e-01,1.782783e-01
102,2.291671e-01,1.756068e-01
103,2.290439e-01,1.725723e-01
104,2.289259e-01,1.716648e-01
105,2.288028e-01,1.745879e-01
106,2.286966e-01,1.773974e-01
107,2.286170e-01,1.801171e-01
108,2.285437e-01,1.827499e-01
109,2.284769e-01,1.852696e-01
110,2.284268e-01,1.876674e-01
111,2.283861e-01,1.899513e-01
112,2.283566e-01,1.921264e-01
113,2.283351e-01,1.941880e-01
114,2.283224e-01,1.961446e-01
115,2.283100e-01,1.980060e-01
116,2.282926e-01,1.997685e-01
117,2.282816e-01,2.013922e-01
118,2.282909e-01,2.028748e-01
119,2.283093e-01,2.042319e-01
120,2.283249e-01,2.054739e-01
121,2.283557e-01,2.066169e-01
122,2.283969e-01,2.076200e-01
123,2.284500e-01,2.084610e-01
124,2.285042e-01,2.091467e-01
125,2.285578e-01,2.096690e-01
126,2.286244e-01,2.099955e-01
127,2.286937e-01,2.101108e-01
128,2.287758e-01,2.099982e-01
129,2.288548e-01,2.096868e-01
130,2.289368e-01,2.091797e-01
131,2.290254e-01,2.084781e-01
132,2.291227e-01,2.075915e-01
133,2.292164e-01,2.065069e-01
134,2.293084e-01,2.052165e-01
135,2.294093e-01,2.037233e-01
136,2.295152e-01,2.020388e-01
137,2.296240e-01,2.025254e-01
138,2.297411e-01,2.053981e-01
139,2.298613e-01,2.080700e-01
140,2.299794e-01,2.105517e-01
141,2.301089e-01,2.128454e-01
142,2.302337e-01,2.149490e-01
143,2.303559e-01,2.168428e-01
144,2.304855e-01,2.185036e-01
145,2.306124e-01,2.199361e-01
146,2.307448e-01,2.211508e-01
147,2.308814e-01,2.221551e-01
