iter,R_mom,R_div
1,9.176602e-01,4.987864e+00
2,1.058338e+00,5.166003e+00
3,1.108864e+00,5.846491e+00
4,1.209625e+00,6.088957e+00
5,1.300919e+00,6.023729e+00
6,1.324500e+00,5.760203e+00
7,1.279302e+00,5.330281e+00
8,1.182362e+00,4.747721e+00
9,1.052196e+00,4.015132e+00
10,9.105582e-01,3.289276e+00
11,7.660748e-01,3.104138e+00
12,6.371952e-01,2.817180e+00
13,5.407517e-01,2.683398e+00
14,4.861824e-01,2.894986e+00
15,4.691514e-01,3.405064e+00
16,4.728480e-01,3.745107e+00
17,4.806986e-01,4.125965e+00
18,4.835452e-01,4.612444e+00
19,4.779313e-01,4.840161e+00
20,4.607445e-01,4.812440e+00
21,4.326615e-01,4.526718e+00
22,3.963893e-01,4.026154e+00
23,3.540774e-01,3.371347e+00
24,3.098473e-01,3.152008e+00
25,2.668922e-01,2.943582e+00
26,2.274738e-01,2.676499e+00
27,1.947577e-01,2.315094e+00
28,1.705528e-01,1.900492e+00
29,1.559515e-01,1.683030e+00
30,1.499192e-01,1.646551e+00
31,1.496031e-01,1.858105e+00
32,1.519686e-01,1.980163e+00
33,1.542219e-01,1.950019e+00
34,1.548821e-01,1.802110e+00
35,1.531709e-01,1.571820e+00
36,1.490193e-01,1.387098e+00
37,1.428307e-01,1.156874e+00
38,1.352738e-01,8.936779e-01
39,1.273584e-01,6.175475e-01
40,1.199592e-01,5.716618e-01
41,1.136775e-01,6.044676e-01
42,1.088723e-01,6.036379e-01
43,1.056242e-01,5.741713e-01
44,1.037065e-01,6.186635e-01
45,1.027650e-01,6.902354e-01
46,1.024034e-01,7.207661e-01
47,1.022597e-01,7.151214e-01
48,1.020551e-01,6.789918e-01
49,1.016051e-01,6.183627e-01
50,1.008798e-01,5.395964e-01
51,9.988634e-02,4.491900e-01
52,9.870275e-02,3.533316e-01
53,9.741809e-02,2.736361e-01
54,9.612786e-02,2.311554e-01
55,9.490875e-02,2.030974e-01
56,9.383109e-02,1.731219e-01
57,9.293232e-02,1.738821e-01
58,9.221320e-02,1.805275e-01
59,9.165122e-02,1.812109e-01
60,9.120908e-02,1.848923e-01
61,9.084530e-02,1.960750e-01
62,9.051572e-02,1.978071e-01
63,9.019811e-02,1.913228e-01
64,8.986859e-02,1.780347e-01
65,8.951614e-02,1.720011e-01
66,8.914279e-02,1.627913e-01
67,8.875404e-02,1.511626e-01
68,8.836398e-02,1.379712e-01
69,8.797794e-02,1.240031e-01
70,8.760972e-02,1.099432e-01
71,8.726572e-02,9.636898e-02
72,8.694597e-02,8.374217e-02
73,8.665198e-02,8.279334e-02
74,8.637979e-02,9.016996e-02
75,8.612827e-02,9.380810e-02
76,8.589065e-02,9.408208e-02
77,8.566272e-02,9.143946e-02
78,8.544171e-02,8.638681e-02
79,8.522444e-02,7.946534e-02
80,8.500988e-02,7.122274e-02
81,8.479809e-02,6.219046e-02
82,8.459202e-02,5.782222e-02
83,8.438892e-02,5.541768e-02
84,8.418937e-02,5.257385e-02
85,8.399755e-02,4.944073e-02
86,8.381267e-02,4.757965e-02
87,8.363323e-02,4.976444e-02
88,8.346030e-02,5.167111e-02
89,8.329370e-02,5.320989e-02
90,8.313030e-02,5.431997e-02
91,8.297048e-02,5.496652e-02
92,8.281396e-02,5.514091e-02
93,8.266037e-02,5.485800e-02
94,8.251011e-02,5.415231e-02
95,8.236351e-02,5.307312e-02
