iter,R_mom,R_div
1,1.589937e+00,4.995117e+00
2,1.873849e+00,6.173663e+00
3,1.993286e+00,6.684301e+00
4,2.017502e+00,6.881964e+00
5,1.930510e+00,7.555092e+00
6,1.782617e+00,7.772740e+00
7,1.610991e+00,7.438894e+00
8,1.438627e+00,6.773258e+00
9,1.281608e+00,5.994055e+00
10,1.150582e+00,4.960450e+00
11,1.048104e+00,3.861661e+00
12,9.702492e-01,3.609865e+00
13,9.084185e-01,3.504335e+00
14,8.517664e-01,3.578774e+00
15,7.914203e-01,3.999493e+00
16,7.217839e-01,4.654543e+00
17,6.441651e-01,5.106751e+00
18,5.635564e-01,5.334634e+00
19,4.872204e-01,5.244413e+00
20,4.230501e-01,4.934734e+00
21,3.782244e-01,4.513094e+00
22,3.560523e-01,4.392856e+00
23,3.541630e-01,4.368371e+00
24,3.646564e-01,4.370427e+00
25,3.791407e-01,4.258277e+00
26,3.913048e-01,4.057566e+00
27,3.986416e-01,3.787981e+00
28,3.998888e-01,3.464660e+00
29,3.947297e-01,3.098658e+00
30,3.842522e-01,2.676931e+00
31,3.692723e-01,2.222176e+00
32,3.514878e-01,1.748896e+00
33,3.316900e-01,1.267513e+00
34,3.113862e-01,1.245400e+00
35,2.914347e-01,1.320400e+00
36,2.725880e-01,1.387641e+00
37,2.556308e-01,1.641522e+00
38,2.410545e-01,1.841449e+00
39,2.290729e-01,1.960423e+00
40,2.201375e-01,1.996851e+00
41,2.143459e-01,1.961148e+00
42,2.114990e-01,1.930299e+00
43,2.110139e-01,1.995571e+00
44,2.121162e-01,2.004568e+00
45,2.140995e-01,1.965966e+00
46,2.163058e-01,1.887814e+00
47,2.181520e-01,1.777328e+00
48,2.192990e-01,1.640900e+00
49,2.195876e-01,1.484142e+00
50,2.189533e-01,1.311744e+00
51,2.174385e-01,1.128132e+00
52,2.151748e-01,9.374111e-01
53,2.123588e-01,7.431930e-01
54,2.092017e-01,5.942229e-01
55,2.059227e-01,6.345145e-01
56,2.027136e-01,6.515578e-01
57,1.997494e-01,6.467013e-01
58,1.971441e-01,6.492371e-01
59,1.949582e-01,6.740683e-01
60,1.932384e-01,6.783422e-01
61,1.919730e-01,6.627281e-01
62,1.910956e-01,6.436388e-01
63,1.905253e-01,7.076238e-01
64,1.902082e-01,7.487462e-01
65,1.900473e-01,7.647808e-01
66,1.899603e-01,7.570803e-01
67,1.898669e-01,7.278704e-01
68,1.897308e-01,6.799571e-01
69,1.895053e-01,6.164750e-01
70,1.891736e-01,5.407009e-01
71,1.887261e-01,4.558919e-01
72,1.881753e-01,3.651958e-01
73,1.875271e-01,2.715832e-01
74,1.868173e-01,2.215797e-01
75,1.860704e-01,2.249555e-01
76,1.853236e-01,2.282544e-01
77,1.845914e-01,2.315074e-01
78,1.839028e-01,2.440240e-01
79,1.832781e-01,2.533965e-01
80,1.827248e-01,2.558197e-01
81,1.822430e-01,2.893275e-01
82,1.818343e-01,3.148492e-01
83,1.814890e-01,3.303322e-01
84,1.811920e-01,3.365775e-01
85,1.809377e-01,3.344959e-01
86,1.807132e-01,3.251095e-01
87,1.804987e-01,3.094875e-01
88,1.802882e-01,2.886873e-01
89,1.800774e-01,2.661346e-01
90,1.798577e-01,2.685248e-01
91,1.796227e-01,2.707627e-01
92,1.793747e-01,2.728318e-01
93,1.791117e-01,2.747217e-01
94,1.788518e-01,2.764660e-01
95,1.785791e-01,2.782380e-01
96,1.782967e-01,2.799406e-01
97,1.780177e-01,2.813439e-01
98,1.777507e-01,2.822850e-01
99,1.774846e-01,2.827229e-01
100,1.772339e-01,2.827412e-01
101,1.769885e-01,2.824999e-01
102,1.767582e-01,2.821792e-01
103,1.765450e-01,2.817803e-01
104,1.763384e-01,2.813500e-01
105,1.761388e-01,2.809215e-01
106,1.759445e-01,2.804975e-01
107,1.757506e-01,2.801059e-01
108,1.755683e-01,2.797937e-01
109,1.753852e-01,2.796001e-01
110,1.751962e-01,2.794504e-01
111,1.750063e-01,2.790083e-01
112,1.748111e-01,2.780528e-01
113,1.746290e-01,2.764131e-01
114,1.744520e-01,2.739972e-01
115,1.742772e-01,2.706884e-01
116,1.741126e-01,2.664912e-01
117,1.739464e-01,2.615545e-01
118,1.737818e-01,2.560554e-01
119,1.736175e-01,2.501489e-01
120,1.734536e-01,2.439623e-01
121,1.733024e-01,2.375870e-01
122,1.731516e-01,2.310926e-01
123,1.730041e-01,2.245384e-01
124,1.728572e-01,2.179744e-01
125,1.727112e-01,2.114438e-01
126,1.725775e-01,2.049695e-01
127,1.724436e-01,1.985698e-01
128,1.723108e-01,1.922501e-01
129,1.721786e-01,1.860156e-01
130,1.720472e-01,1.798700e-01
131,1.719273e-01,1.738062e-01
132,1.718065e-01,1.678198e-01
133,1.716855e-01,1.618961e-01
134,1.715649e-01,1.560276e-01
135,1.714548e-01,1.502063e-01
136,1.713480e-01,1.444586e-01
137,1.712401e-01,1.388031e-01
138,1.711383e-01,1.332341e-01
139,1.710391e-01,1.277335e-01
140,1.709402e-01,1.222735e-01
141,1.708389e-01,1.168289e-01
142,1.707369e-01,1.113851e-01
143,1.706418e-01,1.059071e-01
144,1.705493e-01,1.003616e-01
145,1.704565e-01,9.604686e-02
146,1.703633e-01,9.248078e-02
147,1.702697e-01,8.873097e-02
148,1.701840e-01,8.482557e-02
149,1.700985e-01,8.079251e-02
150,1.700126e-01,7.665852e-02
151,1.699253e-01,7.245544e-02
152,1.698377e-01,6.821624e-02
153,1.697584e-01,6.397401e-02
154,1.696765e-01,5.975200e-02
155,1.695941e-01,5.556610e-02
156,1.695089e-01,5.143606e-02
157,1.694255e-01,4.738120e-02
158,1.693462e-01,4.341936e-02
159,1.692641e-01,3.956004e-02
160,1.691876e-01,3.581297e-02
161,1.691092e-01,3.221852e-02
162,1.690287e-01,3.252367e-02
163,1.689456e-01,3.278853e-02
164,1.688649e-01,3.301506e-02
165,1.687854e-01,3.318745e-02
166,1.687038e-01,3.330899e-02
167,1.686200e-01,3.340027e-02
168,1.685330e-01,3.346985e-02
169,1.684512e-01,3.351145e-02
170,1.683675e-01,3.350348e-02
171,1.682813e-01,3.346511e-02
172,1.681921e-01,3.341039e-02
173,1.681018e-01,3.334262e-02
174,1.680151e-01,3.324861e-02
175,1.679252e-01,3.311490e-02
176,1.678318e-01,3.296489e-02
177,1.677351e-01,3.280788e-02
178,1.676407e-01,3.264001e-02
179,1.675455e-01,3.244303e-02
180,1.674474e-01,3.222424e-02
181,1.673458e-01,3.199868e-02
182,1.672428e-01,3.176846e-02
183,1.671413e-01,3.152376e-02
184,1.670378e-01,3.125725e-02
185,1.669361e-01,3.097490e-02
186,1.668308e-01,3.067397e-02
187,1.667220e-01,3.037232e-02
188,1.666092e-01,3.007631e-02
189,1.665007e-01,2.977719e-02
190,1.663885e-01,2.945523e-02
191,1.662724e-01,2.913167e-02
192,1.661525e-01,2.881487e-02
193,1.660324e-01,2.850280e-02
194,1.659124e-01,2.818158e-02
195,1.657885e-01,2.785165e-02
196,1.656603e-01,2.752674e-02
197,1.655282e-01,2.721154e-02
198,1.653995e-01,2.689777e-02
199,1.652666e-01,2.656845e-02
200,1.651292e-01,2.624235e-02
201,1.649869e-01,2.592684e-02
202,1.648449e-01,2.561874e-02
203,1.647012e-01,2.530318e-02
204,1.645529e-01,2.498421e-02
205,1.643996e-01,2.467376e-02
206,1.642428e-01,2.437450e-02
207,1.640871e-01,2.407717e-02
208,1.639262e-01,2.377231e-02
209,1.637621e-01,2.347280e-02
210,1.635943e-01,2.317844e-02
211,1.634210e-01,2.289117e-02
212,1.632481e-01,2.260969e-02
213,1.630706e-01,2.232119e-02
214,1.628875e-01,2.203687e-02
215,1.626984e-01,2.176481e-02
216,1.625065e-01,2.150393e-02
217,1.623125e-01,2.124323e-02
218,1.621119e-01,2.098124e-02
219,1.619047e-01,2.072851e-02
220,1.616916e-01,2.048788e-02
221,1.614781e-01,2.025175e-02
222,1.612574e-01,2.000846e-02
223,1.610294e-01,1.977171e-02
224,1.607939e-01,1.954704e-02
225,1.605569e-01,1.933031e-02
226,1.603137e-01,1.912878e-02
227,1.600626e-01,1.917859e-02
228,1.598035e-01,1.922188e-02
229,1.595399e-01,1.926384e-02
230,1.592709e-01,1.930928e-02
231,1.589930e-01,1.936130e-02
232,1.587065e-01,1.942739e-02
233,1.584127e-01,1.950902e-02
234,1.581148e-01,1.960582e-02
235,1.578096e-01,1.971331e-02
236,1.574949e-01,1.982552e-02
237,1.571706e-01,1.993789e-02
238,1.568397e-01,2.004836e-02
239,1.565027e-01,2.015498e-02
240,1.561555e-01,2.025250e-02
241,1.557983e-01,2.033661e-02
242,1.554323e-01,2.040726e-02
243,1.550614e-01,2.046707e-02
244,1.546802e-01,2.051469e-02
245,1.542888e-01,2.054749e-02
246,1.538872e-01,2.056608e-02
247,1.534817e-01,2.057544e-02
248,1.530658e-01,2.057635e-02
249,1.526395e-01,2.056784e-02
250,1.522028e-01,2.055062e-02
251,1.517612e-01,2.052921e-02
252,1.513106e-01,2.050546e-02
253,1.508506e-01,2.047737e-02
254,1.503805e-01,2.044402e-02
255,1.499035e-01,2.040719e-02
256,1.494202e-01,2.037065e-02
257,1.489271e-01,2.033346e-02
258,1.484243e-01,2.029243e-02
259,1.479140e-01,2.024862e-02
260,1.473990e-01,2.020527e-02
261,1.468746e-01,2.016134e-02
262,1.463409e-01,2.011285e-02
263,1.457992e-01,2.005991e-02
264,1.452540e-01,2.000633e-02
