iter,R_mom,R_div
1,1.168640e+00,4.987864e+00
2,1.432288e+00,5.832948e+00
3,1.461486e+00,6.592434e+00
4,1.507921e+00,6.920272e+00
5,1.627976e+00,6.770313e+00
6,1.725080e+00,6.330018e+00
7,1.740703e+00,5.686493e+00
8,1.694729e+00,5.072170e+00
9,1.580328e+00,4.193797e+00
10,1.409718e+00,3.115022e+00
11,1.205380e+00,2.484314e+00
12,9.906687e-01,2.438544e+00
13,7.899320e-01,2.506030e+00
14,6.289346e-01,2.829368e+00
15,5.329084e-01,3.337543e+00
16,5.093909e-01,4.354028e+00
17,5.333721e-01,5.097733e+00
18,5.705052e-01,5.478785e+00
19,5.989086e-01,5.459107e+00
20,6.110501e-01,5.132670e+00
21,6.048694e-01,4.587201e+00
22,5.800562e-01,3.890427e+00
23,5.384965e-01,3.219113e+00
24,4.846353e-01,2.652531e+00
25,4.238474e-01,2.236161e+00
26,3.620470e-01,1.805944e+00
27,3.042842e-01,1.470742e+00
28,2.548227e-01,1.290095e+00
29,2.186096e-01,1.405060e+00
30,1.994593e-01,1.495433e+00
31,1.966069e-01,1.728713e+00
32,2.045522e-01,1.973130e+00
33,2.163079e-01,2.109929e+00
34,2.266300e-01,2.138756e+00
35,2.327801e-01,2.066356e+00
36,2.337333e-01,1.905104e+00
37,2.295759e-01,1.671539e+00
38,2.210878e-01,1.385050e+00
39,2.094936e-01,1.066519e+00
40,1.962419e-01,7.369251e-01
41,1.829486e-01,4.771496e-01
42,1.710597e-01,4.250276e-01
43,1.617046e-01,4.950389e-01
44,1.553830e-01,5.462814e-01
45,1.520242e-01,5.898640e-01
46,1.510188e-01,6.486333e-01
47,1.514967e-01,6.802549e-01
48,1.525628e-01,6.915368e-01
49,1.534366e-01,6.640831e-01
50,1.536450e-01,6.061636e-01
51,1.529863e-01,5.258143e-01
52,1.514694e-01,4.515128e-01
53,1.492708e-01,3.859727e-01
54,1.466482e-01,3.148385e-01
55,1.438889e-01,2.420907e-01
56,1.412517e-01,2.122921e-01
57,1.389607e-01,2.033021e-01
58,1.371343e-01,1.948985e-01
59,1.357959e-01,1.905517e-01
60,1.348908e-01,2.338463e-01
61,1.343257e-01,2.623829e-01
62,1.339757e-01,2.767719e-01
63,1.337209e-01,2.781536e-01
64,1.334639e-01,2.681032e-01
65,1.331344e-01,2.483928e-01
66,1.327041e-01,2.210641e-01
67,1.321743e-01,1.883185e-01
68,1.315719e-01,1.523763e-01
69,1.309263e-01,1.153550e-01
70,1.302709e-01,1.042404e-01
71,1.296409e-01,1.002855e-01
72,1.290628e-01,9.753289e-02
73,1.285463e-01,9.585544e-02
74,1.281006e-01,9.505939e-02
75,1.277166e-01,9.484339e-02
76,1.273799e-01,9.445638e-02
77,1.270783e-01,9.794871e-02
78,1.267976e-01,9.879732e-02
79,1.265269e-01,9.685226e-02
80,1.262555e-01,9.296096e-02
81,1.259811e-01,9.242919e-02
82,1.257003e-01,9.172295e-02
83,1.254145e-01,9.081692e-02
84,1.251313e-01,8.970673e-02
85,1.248535e-01,8.840454e-02
86,1.245850e-01,8.692317e-02
87,1.243274e-01,8.527826e-02
88,1.240829e-01,8.348687e-02
89,1.238536e-01,8.157151e-02
90,1.236359e-01,7.956028e-02
91,1.234289e-01,7.747750e-02
92,1.232276e-01,7.534179e-02
93,1.230297e-01,7.318647e-02
94,1.228378e-01,7.104560e-02
95,1.226489e-01,6.895553e-02
96,1.224621e-01,6.694488e-02
